Id,Label,Cat
Fumarate_e,Fumarate_e,Species
CiscAconitate_c,CiscAconitate_c,Species
HhO_HhO_c,HhO_HhO_c,Species
Isocitrate_c,Isocitrate_c,Species
Dihydroxyacetone_phosphate_c,Dihydroxyacetone_phosphate_c,Species
Glyceraldehyde_hcphosphate_c,Glyceraldehyde_hcphosphate_c,Species
Coenzyme_A_c,Coenzyme_A_c,Species
Succinate_c,Succinate_c,Species
ATP_ChhHhhNhOhhPh_c,ATP_ChhHhhNhOhhPh_c,Species
SuccinylcCoA_c,SuccinylcCoA_c,Species
ADP_ChhHhhNhOhhPh_c,ADP_ChhHhhNhOhhPh_c,Species
Phosphate_c,Phosphate_c,Species
LcGlutamate_c,LcGlutamate_c,Species
Ammonium_c,Ammonium_c,Species
LcGlutamine_c,LcGlutamine_c,Species
Hf_c,Hf_c,Species
Phosphate_e,Phosphate_e,Species
Phosphoenolpyruvate_c,Phosphoenolpyruvate_c,Species
COh_COh_c,COh_COh_c,Species
Oxaloacetate_c,Oxaloacetate_c,Species
Nicotinamide_adenine_dinucleotide_phosphate_c,Nicotinamide_adenine_dinucleotide_phosphate_c,Species
DcGlucose_hcphosphate_c,DcGlucose_hcphosphate_c,Species
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Species
_hcphosphocDcgluconochghclactone_c,_hcphosphocDcgluconochghclactone_c,Species
Sedoheptulose_hcphosphate_c,Sedoheptulose_hcphosphate_c,Species
DcErythrose_hcphosphate_c,DcErythrose_hcphosphate_c,Species
DcFructose_hcphosphate_c,DcFructose_hcphosphate_c,Species
DcLactate_e,DcLactate_e,Species
_hcPhosphocDcgluconate_c,_hcPhosphocDcgluconate_c,Species
HhO_HhO_e,HhO_HhO_e,Species
LcGlutamine_e,LcGlutamine_e,Species
COh_COh_e,COh_COh_e,Species
Ammonium_e,Ammonium_e,Species
LcMalate_e,LcMalate_e,Species
Hf_e,Hf_e,Species
LcMalate_c,LcMalate_c,Species
Pyruvate_c,Pyruvate_c,Species
Nicotinamide_adenine_dinucleotide_c,Nicotinamide_adenine_dinucleotide_c,Species
Nicotinamide_adenine_dinucleotide_c_reduced_c,Nicotinamide_adenine_dinucleotide_c_reduced_c,Species
