"(8, 1, 1, 66)","(32, 1)"
"(17, 6, 1, 63)","(8, 6)"
"(7, 2, 1, 34)","(52, 4)"
"(32, 6, 1, 37)","(8, 6)"
"(43, 5, 1, 19)","(17, 5)"
"(52, 5, 1, 67)","(7, 3)"
"(33, 1, 1, 88)","(41, 1)"
"(32, 5, 1, 43)","(8, 5)"
"(32, 2, 1, 63)","(43, 2)"
"(52, 5, 1, 22)","(7, 3)"
"(8, 6, 1, 66)","(32, 6)"
"(69, 4, 1, 10)","(19, 4)"
"(43, 4, 1, 77)","(17, 4)"
"(69, 2, 1, 25)","(19, 2)"
"(17, 5, 1, 86)","(43, 5)"
"(32, 4, 1, 91)","(8, 4)"
"(8, 7, 1, 84)","(17, 7)"
"(32, 4, 1, 71)","(8, 4)"
"(69, 1, 1, 10)","(19, 1)"
"(7, 5, 1, 34)","(52, 7)"
"(43, 1, 1, 77)","(17, 1)"
"(7, 7, 1, 37)","(1, 7)"
"(43, 3, 1, 84)","(32, 3)"
"(32, 3, 1, 87)","(8, 3)"
"(32, 1, 1, 91)","(8, 1)"
"(69, 3, 1, 14)","(19, 3)"
"(43, 4, 1, 19)","(17, 4)"
"(32, 1, 1, 71)","(8, 1)"
"(32, 5, 1, 63)","(43, 5)"
"(52, 4, 1, 67)","(7, 2)"
"(32, 4, 1, 43)","(8, 4)"
"(19, 3, 1, 35)","(69, 3)"
"(52, 4, 1, 22)","(7, 2)"
"(43, 6, 1, 77)","(17, 6)"
"(69, 5, 1, 25)","(19, 5)"
"(69, 3, 1, 50)","(19, 3)"
"(43, 1, 1, 19)","(17, 1)"
"(32, 2, 1, 87)","(8, 2)"
"(43, 2, 1, 84)","(32, 2)"
"(17, 4, 1, 86)","(43, 4)"
"(32, 6, 1, 91)","(8, 6)"
"(52, 1, 1, 67)","(7, 7)"
"(69, 2, 1, 14)","(19, 2)"
"(32, 6, 1, 71)","(8, 6)"
"(43, 7, 1, 58)","(17, 7)"
"(32, 1, 1, 43)","(8, 1)"
"(52, 1, 1, 22)","(7, 7)"
"(19, 2, 1, 35)","(69, 2)"
"(7, 4, 1, 34)","(52, 6)"
"(17, 1, 1, 86)","(43, 1)"
"(34, 1, 1, 5)","(33, 2)"
"(43, 6, 1, 19)","(17, 6)"
"(69, 2, 1, 50)","(19, 2)"
"(7, 7, 1, 4)","(1, 7)"
"(52, 6, 1, 67)","(7, 4)"
"(34, 1, 1, 30)","(41, 1)"
"(8, 3, 1, 84)","(17, 3)"
"(32, 7, 1, 34)","(8, 7)"
"(32, 6, 1, 43)","(8, 6)"
"(32, 4, 1, 63)","(43, 4)"
