Source,Target,Type
acetateacb,rx_1,Directed
ATPacb,rx_1,Directed
CoAacb,rx_1,Directed
rx_1,acetylcCoAacb,Directed
rx_1,AMPacb,Directed
rx_1,PPiacb,Directed
CoAamb,rx_2,Directed
NADfamb,rx_2,Directed
pyruvateamb,rx_2,Directed
rx_2,acetylcCoAamb,Directed
rx_2,COhamb,Directed
rx_2,Hfamb,Directed
rx_2,NADHamb,Directed
Hfacb,rx_3,Directed
NADHacb,rx_3,Directed
pyruvateacb,rx_3,Directed
rx_3,Lclactateacb,Directed
rx_3,NADfacb,Directed
ATPacb,rx_4,Directed
fructosechcphosphateacb,rx_4,Directed
rx_4,ADPacb,Directed
rx_4,fructosechghcbisphosphateacb,Directed
ADPacb,rx_5,Directed
PEPacb,rx_5,Directed
rx_5,ATPacb,Directed
rx_5,pyruvateacb,Directed
_hcphosphocDcglycerateacb,rx_6,Directed
rx_6,HhOacb,Directed
rx_6,PEPacb,Directed
_hcphosphocDcglycerateacb,rx_7,Directed
rx_7,_hcphosphocDcglycerateacb,Directed
_hghcbisphosphocDcglycerateacb,rx_8,Directed
ADPacb,rx_8,Directed
rx_8,_hcphosphocDcglycerateacb,Directed
rx_8,ATPacb,Directed
_hghcbisphosphocDcglycerateacb,rx_9,Directed
rx_9,_hghcbisphosphocDcglycerateacb,Directed
GAPacb,rx_10,Directed
NADfacb,rx_10,Directed
Piacb,rx_10,Directed
rx_10,_hghcbisphosphocDcglycerateacb,Directed
rx_10,Hfacb,Directed
rx_10,NADHacb,Directed
fructosechghcbisphosphateacb,rx_11,Directed
rx_11,DHAPacb,Directed
rx_11,GAPacb,Directed
glucosechcphosphateacb,rx_12,Directed
rx_12,fructosechcphosphateacb,Directed
DHAPacb,rx_13,Directed
rx_13,GAPacb,Directed
ATPacb,rx_14,Directed
glucoseacb,rx_14,Directed
rx_14,ADPacb,Directed
rx_14,glucosechcphosphateacb,Directed
glucosechcphosphateacb,rx_15,Directed
rx_15,glucosechcphosphateacb,Directed
HhOacb,rx_16,Directed
NADfacb,rx_16,Directed
UDPcglucoseacb,rx_16,Directed
rx_16,Hfacb,Directed
rx_16,NADHacb,Directed
rx_16,UDPcglucuronateacb,Directed
UDPcglucoseacb,rx_17,Directed
rx_17,UDPacb,Directed
rx_17,glycogenacb,Directed
glucosechcphosphateacb,rx_18,Directed
UTPacb,rx_18,Directed
rx_18,PPiacb,Directed
rx_18,UDPcglucoseacb,Directed
ADPacb,rx_19,Directed
Dcxylulosechcphosphateacb,rx_19,Directed
rx_19,ATPacb,Directed
rx_19,Dcxyluloseacb,Directed
malateacb,rx_20,Directed
NADPfacb,rx_20,Directed
rx_20,COhacb,Directed
rx_20,Hfacb,Directed
rx_20,NADPHacb,Directed
rx_20,pyruvateacb,Directed
_hcoxobutyrateamb,rx_21,Directed
CoAamb,rx_21,Directed
NADfamb,rx_21,Directed
rx_21,COhamb,Directed
rx_21,Hfamb,Directed
rx_21,NADHamb,Directed
rx_21,propanoylcCoAamb,Directed
acetylcCoAacb,rx_22,Directed
rx_22,acetoacetylcCoAacb,Directed
rx_22,CoAacb,Directed
acetoacetateacb,rx_23,Directed
ATPacb,rx_23,Directed
CoAacb,rx_23,Directed
rx_23,acetoacetylcCoAacb,Directed
rx_23,AMPacb,Directed
rx_23,PPiacb,Directed
glucosechcphosphateacb,rx_24,Directed
NADPfacb,rx_24,Directed
rx_24,gluconochghclactonechcphosphateacb,Directed
rx_24,Hfacb,Directed
rx_24,NADPHacb,Directed
ribulosechcphosphateacb,rx_25,Directed
rx_25,ribosechcphosphateacb,Directed
ribosechcphosphateacb,rx_26,Directed
rx_26,ribosechcphosphateacb,Directed
Dcxylulosechcphosphateacb,rx_27,Directed
erythrosechcphosphateacb,rx_27,Directed
rx_27,fructosechcphosphateacb,Directed
rx_27,GAPacb,Directed
_hcphosphocDcgluconateacb,rx_28,Directed
NADPfacb,rx_28,Directed
rx_28,COhacb,Directed
rx_28,Hfacb,Directed
rx_28,NADPHacb,Directed
rx_28,ribulosechcphosphateacb,Directed
ribulosechcphosphateacb,rx_29,Directed
