"(121, 7, 1, 168)","(140, 7)"
"(160, 14, 1, 134)","(261, 25)"
"(79, 3, 1, 250)","(77, 3)"
"(153, 2, 1, 158)","(319, 2)"
"(301, 21, 1, 293)","(303, 3)"
"(411, 43, 1, 66)","(410, 43)"
"(302, 20, 1, 203)","(300, 4)"
"(302, 16, 1, 211)","(300, 18)"
"(405, 8, 1, 222)","(69, 8)"
"(55, 24, 1, 257)","(89, 24)"
"(300, 15, 1, 24)","(302, 13)"
"(2, 4, 1, 191)","(181, 4)"
"(59, 8, 1, 141)","(255, 18)"
"(399, 17, 1, 288)","(98, 16)"
"(4, 3, 1, 209)","(248, 3)"
"(130, 1, 1, 343)","(129, 1)"
"(174, 10, 1, 283)","(159, 10)"
"(89, 20, 1, 258)","(87, 20)"
"(139, 4, 1, 283)","(120, 4)"
"(300, 1, 1, 152)","(302, 1)"
"(414, 1, 1, 16)","(415, 9)"
"(14, 4, 1, 217)","(421, 4)"
"(366, 3, 1, 334)","(368, 3)"
"(52, 1, 1, 204)","(11, 1)"
"(131, 1, 1, 33)","(120, 1)"
"(414, 13, 1, 17)","(412, 7)"
"(415, 7, 1, 384)","(416, 7)"
"(411, 30, 1, 143)","(410, 30)"
"(81, 3, 1, 252)","(30, 3)"
"(302, 4, 1, 183)","(300, 6)"
"(388, 18, 1, 171)","(387, 18)"
"(367, 1, 1, 2)","(116, 1)"
"(16, 5, 1, 186)","(1, 5)"
"(120, 1, 1, 69)","(139, 1)"
"(302, 16, 1, 219)","(300, 18)"
"(77, 7, 1, 251)","(81, 7)"
"(99, 26, 1, 262)","(433, 26)"
"(89, 27, 1, 258)","(87, 27)"
"(302, 4, 1, 260)","(300, 6)"
"(59, 25, 1, 141)","(255, 14)"
"(281, 3, 1, 349)","(282, 3)"
"(97, 1, 1, 295)","(95, 1)"
"(282, 4, 1, 351)","(281, 4)"
"(136, 2, 1, 38)","(118, 2)"
"(98, 18, 1, 95)","(399, 6)"
"(300, 17, 1, 257)","(302, 15)"
"(315, 2, 1, 214)","(73, 2)"
"(300, 6, 1, 152)","(302, 4)"
"(414, 6, 1, 16)","(415, 4)"
"(302, 10, 1, 179)","(300, 12)"
"(131, 6, 1, 33)","(120, 6)"
"(302, 12, 1, 234)","(300, 14)"
"(258, 5, 1, 38)","(118, 8)"
"(303, 7, 1, 75)","(301, 9)"
"(411, 31, 1, 162)","(410, 31)"
"(160, 10, 1, 142)","(37, 22)"
"(265, 4, 1, 271)","(207, 4)"
"(160, 11, 1, 115)","(22, 22)"
"(187, 4, 1, 165)","(225, 1)"
"(321, 8, 1, 184)","(60, 8)"
"(115, 10, 2, 22)","(159, 2)"
"(300, 7, 1, 96)","(302, 5)"
"(302, 10, 1, 209)","(300, 12)"
"(120, 6, 1, 69)","(139, 6)"
"(201, 2, 1, 125)","(199, 3)"
"(302, 17, 1, 185)","(300, 19)"
"(302, 14, 1, 229)","(300, 16)"
"(110, 2, 1, 153)","(113, 2)"
"(299, 19, 1, 169)","(296, 5)"
"(302, 1, 1, 221)","(300, 1)"
"(58, 10, 1, 140)","(59, 9)"
"(302, 4, 1, 195)","(300, 6)"
"(332, 8, 1, 230)","(67, 8)"
"(97, 6, 1, 295)","(95, 6)"
