"(422, 1, 1, 322)","(423, 1)"
"(302, 5, 1, 193)","(300, 5)"
"(139, 3, 1, 287)","(174, 5)"
"(160, 1, 1, 21)","(362, 3)"
"(139, 2, 1, 158)","(120, 2)"
"(300, 6, 1, 266)","(302, 6)"
"(115, 3, 1, 148)","(159, 1)"
"(130, 1, 1, 343)","(129, 1)"
"(358, 1, 1, 366)","(357, 1)"
"(296, 3, 1, 138)","(299, 3)"
"(139, 1, 1, 381)","(141, 1)"
"(300, 5, 1, 267)","(302, 5)"
"(139, 4, 1, 283)","(120, 4)"
"(139, 4, 1, 57)","(120, 4)"
"(414, 1, 1, 16)","(415, 1)"
"(120, 5, 1, 54)","(139, 5)"
"(34, 1, 1, 105)","(269, 1)"
"(300, 1, 1, 152)","(302, 1)"
"(214, 1, 1, 132)","(202, 1)"
"(302, 1, 1, 247)","(300, 1)"
"(131, 1, 1, 33)","(120, 1)"
"(139, 1, 1, 63)","(120, 1)"
"(302, 6, 1, 251)","(300, 6)"
"(398, 5, 1, 98)","(100, 7)"
"(300, 1, 1, 261)","(302, 1)"
"(120, 4, 1, 43)","(169, 4)"
"(221, 4, 1, 119)","(161, 6)"
"(362, 3, 1, 368)","(361, 3)"
"(302, 2, 1, 203)","(300, 2)"
"(302, 4, 1, 183)","(300, 4)"
"(397, 4, 1, 118)","(178, 4)"
"(120, 1, 1, 69)","(139, 1)"
"(139, 2, 1, 287)","(174, 4)"
"(160, 6, 1, 21)","(362, 2)"
"(139, 4, 1, 242)","(120, 4)"
"(302, 4, 1, 260)","(300, 4)"
"(113, 4, 1, 108)","(116, 4)"
"(97, 1, 1, 295)","(95, 1)"
"(59, 7, 1, 141)","(255, 5)"
"(115, 2, 1, 148)","(159, 6)"
"(296, 2, 1, 138)","(299, 2)"
"(414, 1, 1, 17)","(412, 1)"
"(300, 6, 1, 152)","(302, 6)"
"(302, 6, 1, 247)","(300, 6)"
"(206, 5, 1, 157)","(233, 5)"
"(300, 6, 1, 261)","(302, 6)"
"(296, 3, 1, 163)","(299, 3)"
"(159, 4, 1, 158)","(115, 6)"
"(296, 1, 1, 155)","(299, 1)"
"(345, 1, 1, 315)","(344, 1)"
"(168, 1, 1, 285)","(19, 1)"
"(303, 7, 1, 75)","(301, 7)"
"(296, 7, 1, 105)","(299, 7)"
"(48, 4, 1, 137)","(160, 2)"
"(362, 2, 1, 368)","(361, 2)"
"(300, 7, 1, 96)","(302, 7)"
"(232, 3, 1, 38)","(205, 3)"
"(380, 1, 1, 364)","(379, 1)"
"(302, 1, 1, 221)","(300, 1)"
"(335, 5, 1, 151)","(131, 5)"
"(140, 3, 1, 140)","(121, 3)"
"(302, 4, 1, 195)","(300, 4)"
"(97, 6, 1, 295)","(95, 6)"
"(139, 3, 1, 164)","(120, 3)"
"(146, 3, 1, 58)","(162, 3)"
"(379, 1, 1, 92)","(222, 1)"
"(100, 4, 1, 289)","(95, 1)"
"(231, 4, 1, 131)","(230, 1)"
"(98, 1, 1, 293)","(96, 1)"
"(296, 6, 1, 155)","(299, 6)"
"(160, 5, 1, 109)","(362, 7)"
"(296, 2, 1, 163)","(299, 2)"
"(323, 7, 1, 241)","(159, 5)"
"(428, 1, 1, 18)","(414, 1)"
"(302, 5, 1, 252)","(300, 5)"
"(302, 1, 1, 193)","(300, 1)"
"(255, 4, 1, 274)","(116, 6)"
"(50, 5, 1, 232)","(8, 5)"
"(295, 3, 1, 296)","(298, 3)"
"(302, 5, 1, 181)","(300, 5)"
"(232, 2, 1, 38)","(205, 2)"
"(284, 4, 1, 236)","(159, 4)"
"(300, 1, 1, 267)","(302, 1)"
"(223, 1, 1, 95)","(380, 1)"
"(302, 6, 1, 221)","(300, 6)"
"(332, 7, 1, 230)","(67, 7)"
"(120, 1, 1, 54)","(139, 1)"
"(140, 2, 1, 140)","(121, 2)"
"(139, 2, 1, 164)","(120, 2)"
"(146, 2, 1, 58)","(162, 2)"
"(295, 5, 1, 280)","(300, 5)"
"(105, 3, 1, 48)","(123, 3)"
"(398, 1, 1, 98)","(100, 4)"
"(98, 6, 1, 293)","(96, 6)"
"(24, 3, 1, 145)","(36, 3)"
"(115, 7, 1, 22)","(112, 7)"
"(302, 6, 1, 193)","(300, 6)"
"(160, 4, 1, 115)","(22, 6)"
"(295, 5, 1, 37)","(298, 5)"
"(120, 4, 1, 19)","(139, 4)"
"(295, 2, 1, 296)","(298, 2)"
"(388, 4, 1, 234)","(323, 4)"
"(300, 6, 1, 267)","(302, 6)"
"(217, 2, 1, 39)","(214, 1)"
"(428, 1, 1, 146)","(417, 2)"
"(390, 4, 1, 153)","(113, 6)"
"(206, 1, 1, 157)","(233, 1)"
"(139, 5, 1, 243)","(120, 5)"
"(258, 1, 1, 38)","(118, 2)"
"(398, 6, 1, 98)","(100, 8)"
"(139, 5, 1, 72)","(120, 5)"
"(302, 3, 1, 264)","(300, 3)"
"(296, 7, 1, 288)","(299, 7)"
"(105, 2, 1, 48)","(123, 2)"
"(103, 3, 1, 51)","(376, 4)"
"(24, 2, 1, 145)","(36, 2)"
"(374, 1, 1, 104)","(34, 1)"
"(299, 7, 1, 169)","(296, 7)"
"(388, 3, 1, 171)","(159, 1)"
"(302, 3, 1, 199)","(300, 3)"
"(139, 5, 1, 50)","(120, 5)"
"(432, 4, 1, 39)","(229, 2)"
"(120, 4, 1, 42)","(139, 4)"
"(335, 1, 1, 151)","(131, 1)"
"(98, 3, 1, 95)","(399, 3)"
"(160, 5, 1, 2)","(116, 7)"
"(139, 4, 1, 284)","(120, 4)"
"(302, 5, 1, 258)","(300, 5)"
"(298, 3, 1, 275)","(295, 3)"
"(300, 7, 1, 20)","(302, 7)"
"(139, 3, 1, 23)","(131, 3)"
"(139, 5, 1, 34)","(131, 5)"
"(121, 5, 1, 168)","(140, 5)"
"(287, 1, 1, 126)","(377, 1)"
"(139, 3, 1, 48)","(120, 3)"
"(160, 1, 1, 109)","(362, 3)"
"(139, 3, 1, 285)","(131, 3)"
