Metabolite_name,Smiles,HMR_database_2_00_row
(2E)-decenoyl-[ACP][c], CCCCCCCC=CC(=O)S, 92
(2E)-dodecenoyl-[ACP][c], CCCCCCCCCC=CC(=O)S, 98
(2E)-heptadecenoyl-[ACP][c], CCCCCCCCCCCCCCC=CC(=O)S, 106
(2E)-heptenoyl-[ACP][c], CCCCC=CC(=O)S, 108
(2E)-hexadecenoyl-[ACP][c], CCCCCCCCCCCCCC=CC(=O)S, 112
(2E)-hexenoyl-[ACP][c], CCCC=CC(=O)S, 115
(2E)-nonenoyl-[ACP][c], CCCCCCC=CC(=O)S, 120
(2E)-octadecenoyl-CoA[c], CCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)[C](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@]1O[C@@](n2cnc3c(N)ncnc32)[C@](O)[C@@]1OP(=O)(O)O, 122
(2E)-octenoyl-[ACP][c], CCCCCC=CC(=O)S, 125
(2E)-pentadecenoyl-[ACP][c], CCCCCCCCCCCCC=CC(=O)S, 128
(2E)-pentenoyl-[ACP][c], CCC=CC(=O)S, 130
(2E)-tetradecenoyl-[ACP][c], CCCCCCCCCCCC=CC(=O)S, 134
(2E)-tridecenoyl-[ACP][c], CCCCCCCCCCC=CC(=O)S, 138
(2E)-undecenoyl-[ACP][c], CCCCCCCCC=CC(=O)S, 140
(R)-3-hydroxybutanoyl-[ACP][c], C[C](O)CC(=O)S, 334
(R)-3-hydroxydecanoyl-[ACP][c], CCCCCCC[C](O)CC(=O)S, 336
(R)-3-hydroxyoctanoyl-[ACP][c], CCCCC[C](O)CC(=O)S, 337
(R)-3-hydroxypalmitoyl-[ACP][c], CCCCCCCCCCCCC[C](O)CC(=O)S, 338
(R)-4-phosphopantothenoyl-cysteine[c], CC(C)(COP(=O)(O)O)[C@H](C(=O)NCCC(=O)N[C@@H](CS)C(=O)O)O, 339
(R)-5-diphosphomevalonate[c], C[C@@](CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O, 341
(R)-5-phosphomevalonate[c], C[C@@](CCOP(=O)(O)O)(CC(=O)O)O, 342
(R)-methylmalonyl-CoA[m], C[C@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 343
(R)-mevalonate[c], C[C@@](CCO)(CC(=O)O)O, 344
(S)-3-hydroxy-2-methylbutyryl-CoA[m], C[C@@H]([C@H](C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 351
(S)-3-hydroxybutyryl-CoA[m], CC(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O, 354
(S)-dihydroorotate[c], C1C(NC(=O)NC1=O)C(=O)O, 369
[ACP][c], S, 376
"1,3-bisphospho-D-glycerate[c]", C([C@H](C(=O)OP(=O)(O)O)O)OP(=O)(O)O, 456
10-formyl-THF[c], C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O, 503
14-demethyllanosterol[c], CC(CCC=C(C)C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C, 676
1-pyrroline-5-carboxylate[m], C1C[C@H](N=C1)C(=O)O, 931
"2,3-bisphospho-D-glycerate[c]", C([C@H](C(=O)O)OP(=O)(O)O)OP(=O)(O)O, 943
"24,25-dihydrolanosterol[c]", C[C@H](CCCC(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C, 1011
2-aminoadipate 6-semialdehyde[m], C(CC=O)C[C@@H](C(=O)O)N, 1052
2-methyl-3-oxopropanoate[m], CC(C=O)C(=O)O, 1074
2-methylacetoacetyl-CoA[m], CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 1105
2-methylbutyryl-CoA[m], CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 1106
2-oxo-3-methylvalerate[c], CCC(C)C(=O)C(=O)O, 1113
