Source,Target,Type
Sodium_e,rx_1,Directed
Chloride_e,rx_1,Directed
Glycine_e,rx_1,Directed
rx_1,Chloride_c,Directed
rx_1,Sodium_c,Directed
rx_1,Glycine_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_2,Directed
Coenzyme_A_c,rx_2,Directed
Octadecenoate_dncChhjhe_c,rx_2,Directed
rx_2,Diphosphate_c,Directed
rx_2,OctadecenoylcCoA_dncChhjhCoAe_c,Directed
rx_2,AMP_ChhHhhNhOhP_c,Directed
Xylitol_ChHhhOh_c,rx_3,Directed
Nicotinamide_adenine_dinucleotide_c,rx_3,Directed
rx_3,DcXylulose_c,Directed
rx_3,Hf_c,Directed
rx_3,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_4,Directed
Ammonium_c,rx_4,Directed
LcGlutamate_c,rx_4,Directed
rx_4,Hf_c,Directed
rx_4,LcGlutamine_c,Directed
rx_4,ADP_ChhHhhNhOhhPh_c,Directed
rx_4,Phosphate_c,Directed
Dihydroxyacetone_phosphate_c,rx_5,Directed
rx_5,Glyceraldehyde_hcphosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_6,Directed
Pyridoxamine_c,rx_6,Directed
rx_6,Hf_c,Directed
rx_6,Pyridoxamine_hicphosphate_c,Directed
rx_6,ADP_ChhHhhNhOhhPh_c,Directed
Adenine_e,rx_7,Directed
Adenine_e,rx_8,Directed
rx_8,Adenine_c,Directed
Oh_Oh_c,rx_9,Directed
Hf_c,rx_9,Directed
Coproporphyrinogen_III_c,rx_9,Directed
rx_9,Protoporphyrinogen_IX_c,Directed
rx_9,HhO_HhO_c,Directed
rx_9,COh_COh_c_sink,Directed
Oh_Oh_e,rx_10,Directed
rx_10,Oh_Oh_c,Directed
Hf_c,rx_11,Directed
Spermine_ChhHhhNh_e,rx_11,Directed
rx_11,Spermine_ChhHhhNh_c,Directed
rx_11,Hf_e,Directed
Nicotinate_e,rx_12,Directed
rx_12,Nicotinate_c,Directed
DcGlucose_c,rx_13,Directed
ATP_ChhHhhNhOhhPh_c,rx_13,Directed
rx_13,Hf_c,Directed
rx_13,DcGlucose_hcphosphate_c,Directed
rx_13,ADP_ChhHhhNhOhhPh_c,Directed
Hf_c,rx_14,Directed
Biliverdin_cytosol_c,rx_14,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_14,Directed
rx_14,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_14,Bilirubin_cytosol_c,Directed
LcHomocysteine_e,rx_15,Directed
NcAcetylcDcglucosamine_hcphosphate_c,rx_16,Directed
HhO_HhO_c,rx_16,Directed
rx_16,DcGlucosamine_hcphosphate_c,Directed
rx_16,Acetate_c,Directed
Flavin_adenine_dinucleotide_oxidized_c,rx_17,Directed
HhO_HhO_c,rx_17,Directed
rx_17,Hf_c,Directed
rx_17,AMP_ChhHhhNhOhP_c,Directed
rx_17,FMN_ChhHhhNhOhP_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_18,Directed
Pyridoxine_c,rx_18,Directed
rx_18,Pyridoxine_hicphosphate_c,Directed
rx_18,Hf_c,Directed
rx_18,ADP_ChhHhhNhOhhPh_c,Directed
_hcOxoglutarate_c,rx_19,Directed
LcPhenylalanine_c,rx_19,Directed
rx_19,LcGlutamate_c,Directed
rx_19,Phenylpyruvate_c,Directed
_hDcmyocInositol_hghcbisphosphate_c,rx_20,Directed
Glycerol_e,rx_21,Directed
Norepinephrine_c,rx_22,Directed
ScAdenosylcLcmethionine_c,rx_22,Directed
rx_22,LcNormetanephrine_c,Directed
rx_22,Hf_c,Directed
rx_22,ScAdenosylcLchomocysteine_c,Directed
Octadecenoate_dncChhjhe_e,rx_23,Directed
ATP_ChhHhhNhOhhPh_c,rx_24,Directed
DcFructose_c,rx_24,Directed
rx_24,Hf_c,Directed
rx_24,DcFructose_hcphosphate_c,Directed
rx_24,ADP_ChhHhhNhOhhPh_c,Directed
_hD_myo_Inositol_h_h_h_trisphosphate_ChHhOhhPh_c,rx_25,Directed
HhO_HhO_c,rx_25,Directed
rx_25,_hDcmyocInositol_hghcbisphosphate_c,Directed
rx_25,Phosphate_c,Directed
Nicotinamide_e,rx_26,Directed
Leukotriene_Bhdhce_e,rx_27,Directed
ATP_ChhHhhNhOhhPh_c,rx_28,Directed
NcAcetylcDcmannosamine_c,rx_28,Directed
rx_28,Hf_c,Directed
rx_28,NcAcetylcDcmannosamine_hcphosphate_c,Directed
rx_28,ADP_ChhHhhNhOhhPh_c,Directed
Pyridoxine_e,rx_29,Directed
rx_29,Pyridoxine_c,Directed
DcFructose_e,rx_30,Directed
LcCysteine_e,rx_31,Directed
Acetate_e,rx_32,Directed
LcAscorbate_e,rx_33,Directed
rx_33,LcAscorbate_c,Directed
Thiamin_e,rx_34,Directed
rx_34,Thiamin_c,Directed
Bicarbonate_e,rx_35,Directed
NcAcetylcDcglucosamine_c,rx_36,Directed
ATP_ChhHhhNhOhhPh_c,rx_36,Directed
rx_36,Hf_c,Directed
rx_36,NcAcetylcDcglucosamine_hcphosphate_c,Directed
rx_36,ADP_ChhHhhNhOhhPh_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_37,Directed
AlphacDcRibose_hcphosphate_c,rx_37,Directed
rx_37,_hcPhosphocalphacDcribose_hcdiphosphate_c,Directed
rx_37,Hf_c,Directed
rx_37,AMP_ChhHhhNhOhP_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_38,Directed
_hcPhosphocDcgluconate_c,rx_38,Directed
rx_38,DcRibulose_hcphosphate_c,Directed
rx_38,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_38,COh_COh_c_sink,Directed
Octadecenoate_dncChhjhe_e,rx_39,Directed
rx_39,Octadecenoate_dncChhjhe_c,Directed
LcHomocysteine_e,rx_40,Directed
rx_40,LcHomocysteine_c,Directed
UDPglucose_c,rx_41,Directed
rx_41,UDPgalactose_c,Directed
LcAscorbate_e,rx_42,Directed
AlphacDcGalactose_hcphosphate_c,rx_43,Directed
UDPglucose_c,rx_43,Directed
rx_43,UDPgalactose_c,Directed
rx_43,DcGlucose_hcphosphate_c,Directed
_highicCyclic_GMP_c,rx_44,Directed
ATP_ChhHhhNhOhhPh_c,rx_44,Directed
HhO_HhO_c,rx_44,Directed
rx_44,_highicCyclic_GMP_e,Directed
rx_44,Hf_c,Directed
rx_44,ADP_ChhHhhNhOhhPh_c,Directed
rx_44,Phosphate_c,Directed
Hf_c,rx_45,Directed
Orotidine_hicphosphate_c,rx_45,Directed
rx_45,UMP_ChHhhNhOhP_c,Directed
rx_45,COh_COh_c_sink,Directed
Leukotriene_Ah_cytosol_e,rx_46,Directed
rx_46,Leukotriene_Ah_cytosol_c,Directed
DcGlycerate_hcphosphate_c,rx_47,Directed
rx_47,_hcPhosphocDcglycerate_c,Directed
Diphosphate_c,rx_48,Directed
HhO_HhO_c,rx_48,Directed
rx_48,Hf_c,Directed
rx_48,Phosphate_c,Directed
Ethanolamine_e,rx_49,Directed
rx_49,Ethanolamine_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_50,Directed
Glycerol_c,rx_50,Directed
rx_50,Hf_c,Directed
rx_50,Glycerol_hcphosphate_c,Directed
rx_50,ADP_ChhHhhNhOhhPh_c,Directed
Glycerol_c,rx_51,Directed
rx_51,Glycerol_e,Directed
Linoleic_acid_dall_cis_Chhjhe_nch_e,rx_52,Directed
_hDcmyocInositol_hcphosphate_c,rx_53,Directed
HhO_HhO_c,rx_53,Directed
rx_53,Phosphate_c,Directed
rx_53,MyocInositol_c,Directed
Nicotinamide_e,rx_54,Directed
rx_54,Nicotinamide_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_55,Directed
HhO_HhO_c,rx_55,Directed
_hcMethoxytyramine_c,rx_55,Directed
rx_55,Hf_c,Directed
rx_55,_hcMethoxytyramine_e,Directed
rx_55,ADP_ChhHhhNhOhhPh_c,Directed
rx_55,Phosphate_c,Directed
HhO_HhO_c,rx_56,Directed
COh_COh_c_source,rx_56,Directed
rx_56,Hf_c,Directed
rx_56,Bicarbonate_c,Directed
Hf_c,rx_57,Directed
DcGalactose_c,rx_57,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_57,Directed
rx_57,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_57,Galactitol_c,Directed
DcGlucose_hcphosphate_c,rx_58,Directed
rx_58,DcFructose_hcphosphate_c,Directed
AlphacDcRibose_hcphosphate_c,rx_59,Directed
rx_59,DcRibulose_hcphosphate_c,Directed
Hf_e,rx_60,Directed
NcAcetylneuraminate_e,rx_60,Directed
rx_60,Hf_c,Directed
rx_60,NcAcetylneuraminate_c,Directed
DcGlucosamine_hcphosphate_c,rx_61,Directed
HhO_HhO_c,rx_61,Directed
rx_61,Ammonium_c,Directed
rx_61,DcFructose_hcphosphate_c,Directed
Riboflavin_ChhHhhNhOh_c,rx_62,Directed
ATP_ChhHhhNhOhhPh_c,rx_62,Directed
rx_62,Hf_c,Directed
rx_62,FMN_ChhHhhNhOhP_c,Directed
rx_62,ADP_ChhHhhNhOhhPh_c,Directed
Hf_c,rx_63,Directed
ATP_ChhHhhNhOhhPh_c,rx_63,Directed
Nicotinate_Dcribonucleotide_c,rx_63,Directed
rx_63,Diphosphate_c,Directed
rx_63,DeaminocNADf_c,Directed
Pyridoxal_e,rx_64,Directed
rx_64,Pyridoxal_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_65,Directed
Adenosine_c,rx_65,Directed
rx_65,Hf_c,Directed
rx_65,AMP_ChhHhhNhOhP_c,Directed
rx_65,ADP_ChhHhhNhOhhPh_c,Directed
LcCysteine_c,rx_66,Directed
ATP_ChhHhhNhOhhPh_c,rx_66,Directed
LcGlutamate_c,rx_66,Directed
rx_66,Hf_c,Directed
rx_66,GammacLcGlutamylcLccysteine_c,Directed
rx_66,ADP_ChhHhhNhOhhPh_c,Directed
rx_66,Phosphate_c,Directed
N_Ribosylnicotinamide_ChhHhhNhOh_c,rx_67,Directed
Phosphate_c,rx_67,Directed
rx_67,Hf_c,Directed
rx_67,Nicotinamide_c,Directed
rx_67,AlphacDcRibose_hcphosphate_c,Directed
UTP_ChHhhNhOhhPh_c,rx_68,Directed
Hf_c,rx_68,Directed
DcGlucose_hcphosphate_c,rx_68,Directed
rx_68,Diphosphate_c,Directed
rx_68,UDPglucose_c,Directed
Oxidized_glutathione_e,rx_69,Directed
Phosphate_e,rx_70,Directed
Chloride_e,rx_71,Directed
Potassium_e,rx_71,Directed
rx_71,Chloride_c,Directed
rx_71,Potassium_c,Directed
DcMannose_e,rx_72,Directed
rx_72,DcMannose_c,Directed
HhO_HhO_e,rx_73,Directed
rx_73,HhO_HhO_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_74,Directed
Ethanolamine_c,rx_74,Directed
rx_74,Hf_c,Directed
rx_74,Ethanolamine_phosphate_ChHhNOhP_c,Directed
rx_74,ADP_ChhHhhNhOhhPh_c,Directed
COh_COh_e,rx_75,Directed
DcMannose_hcphosphate_c,rx_76,Directed
rx_76,DcFructose_hcphosphate_c,Directed
Putrescine_c,rx_77,Directed
rx_77,Putrescine_e,Directed
DcGlucose_e,rx_78,Directed
rx_78,DcGlucose_c,Directed
Bicarbonate_c,rx_79,Directed
Bilirubin_monoglucuronide_e,rx_79,Directed
rx_79,Bilirubin_monoglucuronide_c,Directed
rx_79,Bicarbonate_e,Directed
Dihydroxyacetone_phosphate_c,rx_80,Directed
rx_80,Methylglyoxal_c,Directed
rx_80,Phosphate_c,Directed
Dehydroascorbate_e,rx_81,Directed
Spermidine_e,rx_82,Directed
ATP_ChhHhhNhOhhPh_c,rx_83,Directed
UDP_ChHhhNhOhhPh_c,rx_83,Directed
rx_83,UTP_ChHhhNhOhhPh_c,Directed
rx_83,ADP_ChhHhhNhOhhPh_c,Directed
Carbon_monoxide_e,rx_84,Directed
Pyruvate_e,rx_85,Directed
ATP_ChhHhhNhOhhPh_c,rx_86,Directed
Calcium_c,rx_86,Directed
HhO_HhO_c,rx_86,Directed
rx_86,Hf_e,Directed
rx_86,Calcium_e,Directed
rx_86,ADP_ChhHhhNhOhhPh_c,Directed
rx_86,Phosphate_c,Directed
LcLactate_c,rx_87,Directed
Nicotinamide_adenine_dinucleotide_c,rx_87,Directed
rx_87,Pyruvate_c,Directed
rx_87,Hf_c,Directed
rx_87,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
DcGlucose_c,rx_88,Directed
Hf_c,rx_88,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_88,Directed
rx_88,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_88,DcSorbitol_c,Directed
LcMethionine_c,rx_89,Directed
ATP_ChhHhhNhOhhPh_c,rx_89,Directed
HhO_HhO_c,rx_89,Directed
rx_89,Diphosphate_c,Directed
rx_89,ScAdenosylcLcmethionine_c,Directed
rx_89,Phosphate_c,Directed
Adrenaline_e,rx_90,Directed
rx_90,Adrenaline_c,Directed
Phosphoenolpyruvate_c,rx_91,Directed
Hf_c,rx_91,Directed
ADP_ChhHhhNhOhhPh_c,rx_91,Directed
rx_91,Pyruvate_c,Directed
rx_91,ATP_ChhHhhNhOhhPh_c,Directed
