"(172, 1, 1, 316)","(219, 1)"
"(190, 7, 1, 231)","(171, 3)"
"(134, 6, 1, 319)","(178, 3)"
"(104, 25, 1, 133)","(19, 24)"
"(97, 3, 1, 187)","(182, 3)"
"(71, 9, 1, 74)","(228, 9)"
"(24, 7, 1, 100)","(237, 1)"
"(204, 14, 1, 95)","(45, 14)"
"(219, 13, 1, 313)","(172, 13)"
"(174, 1, 1, 4)","(173, 4)"
"(145, 13, 1, 14)","(210, 12)"
"(172, 6, 1, 316)","(219, 6)"
"(104, 36, 1, 133)","(19, 18)"
"(175, 1, 1, 325)","(24, 1)"
"(71, 9, 1, 13)","(228, 9)"
"(83, 21, 1, 2)","(85, 19)"
"(120, 18, 1, 108)","(152, 13)"
"(190, 7, 1, 116)","(171, 3)"
"(128, 3, 1, 261)","(55, 3)"
"(120, 3, 1, 279)","(230, 3)"
"(233, 7, 3, 136)","(261, 7)"
"(21, 14, 1, 282)","(143, 14)"
"(172, 15, 1, 308)","(219, 15)"
"(255, 4, 1, 304)","(36, 4)"
"(36, 4, 1, 151)","(57, 4)"
"(80, 3, 1, 306)","(21, 3)"
"(142, 2, 1, 321)","(260, 2)"
"(166, 8, 1, 119)","(71, 8)"
"(175, 6, 1, 325)","(24, 3)"
"(71, 2, 1, 74)","(228, 2)"
"(230, 16, 1, 57)","(120, 16)"
"(71, 5, 1, 37)","(141, 5)"
"(50, 5, 1, 302)","(130, 1)"
"(180, 11, 1, 43)","(200, 11)"
"(116, 17, 1, 284)","(25, 17)"
"(71, 2, 1, 13)","(228, 2)"
"(196, 19, 1, 17)","(141, 1)"
"(49, 1, 3, 226)","(81, 1)"
"(172, 14, 1, 87)","(219, 14)"
"(72, 3, 1, 114)","(95, 3)"
"(222, 10, 1, 128)","(260, 3)"
"(171, 8, 1, 83)","(27, 8)"
"(71, 3, 1, 28)","(228, 3)"
"(230, 20, 1, 115)","(120, 20)"
"(230, 20, 1, 217)","(120, 20)"
"(176, 3, 1, 312)","(235, 3)"
"(34, 5, 1, 297)","(233, 5)"
"(227, 4, 1, 9)","(73, 14)"
"(71, 9, 1, 65)","(141, 9)"
"(169, 9, 1, 79)","(51, 9)"
"(9, 2, 1, 40)","(264, 2)"
"(230, 21, 1, 128)","(120, 21)"
"(49, 6, 3, 226)","(81, 6)"
"(186, 10, 1, 99)","(62, 10)"
"(18, 10, 1, 104)","(100, 10)"
"(172, 16, 1, 106)","(219, 16)"
"(227, 22, 1, 9)","(73, 33)"
"(194, 11, 1, 2)","(85, 11)"
"(202, 5, 1, 124)","(25, 5)"
"(19, 34, 1, 258)","(227, 31)"
