"(127, 3, 1, 223)","(89, 4)"
"(172, 1, 1, 316)","(219, 1)"
"(172, 6, 1, 308)","(219, 6)"
"(49, 1, 2, 226)","(81, 1)"
"(38, 1, 1, 61)","(117, 1)"
"(71, 2, 1, 238)","(228, 2)"
"(71, 3, 1, 298)","(228, 3)"
"(174, 1, 1, 4)","(173, 2)"
"(71, 2, 1, 223)","(141, 2)"
"(120, 6, 1, 146)","(230, 6)"
"(250, 4, 1, 241)","(235, 4)"
"(172, 6, 1, 316)","(219, 6)"
"(127, 2, 1, 223)","(89, 3)"
"(175, 1, 1, 325)","(22, 1)"
"(32, 1, 1, 66)","(142, 2)"
"(71, 3, 1, 74)","(228, 3)"
"(95, 1, 1, 155)","(260, 2)"
"(219, 1, 1, 313)","(172, 1)"
"(120, 3, 1, 279)","(230, 3)"
"(145, 1, 1, 14)","(210, 4)"
"(71, 2, 1, 298)","(228, 2)"
"(144, 5, 1, 166)","(235, 4)"
"(71, 3, 1, 13)","(228, 3)"
"(142, 2, 1, 321)","(260, 2)"
"(166, 8, 1, 119)","(141, 1)"
"(175, 6, 1, 325)","(24, 5)"
"(272, 3, 1, 212)","(172, 7)"
"(71, 2, 1, 74)","(228, 2)"
"(219, 6, 1, 313)","(172, 6)"
"(120, 2, 1, 279)","(230, 2)"
"(71, 5, 1, 37)","(141, 5)"
"(224, 5, 1, 246)","(89, 5)"
"(71, 2, 1, 13)","(228, 2)"
"(166, 7, 1, 119)","(141, 4)"
"(94, 3, 1, 254)","(37, 3)"
"(272, 2, 1, 212)","(172, 6)"
"(71, 3, 1, 170)","(228, 3)"
"(191, 1, 1, 224)","(5, 1)"
"(49, 1, 3, 226)","(81, 1)"
"(71, 5, 1, 18)","(228, 5)"
"(230, 3, 1, 115)","(120, 3)"
"(71, 4, 1, 196)","(228, 4)"
"(230, 3, 1, 217)","(120, 3)"
"(71, 3, 1, 28)","(228, 3)"
"(89, 4, 1, 256)","(131, 4)"
"(176, 3, 1, 312)","(235, 3)"
"(227, 4, 1, 9)","(73, 4)"
"(94, 2, 1, 254)","(37, 2)"
"(260, 1, 1, 140)","(222, 1)"
"(71, 2, 1, 170)","(228, 2)"
"(144, 1, 1, 166)","(117, 1)"
"(230, 2, 1, 115)","(120, 2)"
"(71, 5, 1, 55)","(228, 5)"
"(234, 3, 1, 157)","(161, 3)"
"(196, 8, 1, 17)","(141, 2)"
"(230, 2, 1, 217)","(120, 2)"
"(204, 3, 1, 158)","(196, 3)"
"(71, 5, 1, 66)","(228, 5)"
"(71, 2, 1, 28)","(228, 2)"
"(172, 5, 1, 175)","(219, 5)"
"(260, 3, 2, 250)","(222, 5)"
"(120, 3, 1, 108)","(152, 5)"
"(176, 2, 1, 312)","(235, 2)"
"(71, 5, 1, 62)","(228, 5)"
"(71, 3, 1, 65)","(141, 3)"
"(169, 3, 1, 79)","(51, 3)"
"(222, 4, 1, 238)","(75, 4)"
"(27, 1, 1, 120)","(200, 1)"
"(71, 3, 1, 204)","(228, 3)"
"(177, 3, 1, 297)","(189, 4)"
"(175, 3, 1, 198)","(24, 2)"
"(71, 1, 1, 37)","(141, 1)"
"(224, 1, 1, 246)","(89, 1)"
"(89, 3, 1, 286)","(176, 3)"
"(50, 1, 1, 302)","(109, 2)"
"(234, 2, 1, 157)","(161, 2)"
"(196, 7, 1, 17)","(141, 1)"
"(204, 2, 1, 158)","(196, 2)"
"(24, 5, 1, 100)","(237, 3)"
"(260, 2, 2, 250)","(222, 3)"
"(120, 2, 1, 108)","(87, 2)"
"(71, 2, 1, 65)","(141, 2)"
"(169, 2, 1, 79)","(51, 2)"
"(71, 1, 1, 18)","(228, 1)"
"(71, 2, 1, 204)","(228, 2)"
"(177, 2, 1, 297)","(189, 5)"
"(175, 2, 1, 198)","(24, 1)"
"(71, 3, 1, 2)","(141, 3)"
"(89, 2, 1, 286)","(176, 2)"
"(233, 1, 2, 136)","(261, 1)"
