Source,Target,Type
DcGlucosamine_hcphosphate_c,rx_1,Directed
rx_1,DcGlucosamine_hcphosphate_c,Directed
GTP_ChhHhhNhOhhPh_c,rx_2,Directed
HhO_HhO_c,rx_2,Directed
rx_2,Diphosphate_c,Directed
rx_2,Hf_c,Directed
rx_2,Formate_c,Directed
rx_2,_h_h_Diamino_h_hydroxy_h__h__phosphoribosylamino__pyrimidine_ChHhhNhOhP_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_3,Directed
_hghcDiaminononanoate_c,rx_3,Directed
COh_COh_c_source,rx_3,Directed
rx_3,Hf_c,Directed
rx_3,ADP_ChhHhhNhOhhPh_c,Directed
rx_3,Dethiobiotin_c,Directed
rx_3,Phosphate_c,Directed
CicdhcIndolylecglycerol_hcphosphate_c,rx_4,Directed
rx_4,Indole_c,Directed
rx_4,Glyceraldehyde_hcphosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_5,Directed
Ammonium_c,rx_5,Directed
LcGlutamate_c,rx_5,Directed
rx_5,Hf_c,Directed
rx_5,LcGlutamine_c,Directed
rx_5,ADP_ChhHhhNhOhhPh_c,Directed
rx_5,Phosphate_c,Directed
Dihydroxyacetone_phosphate_c,rx_6,Directed
rx_6,Glyceraldehyde_hcphosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_7,Directed
LcAspartate_c,rx_7,Directed
rx_7,_hcPhosphocLcaspartate_c,Directed
rx_7,ADP_ChhHhhNhOhhPh_c,Directed
Adenine_e,rx_8,Directed
HhO_HhO_c,rx_9,Directed
COh_COh_c_source,rx_9,Directed
rx_9,Carbonic_acid_c,Directed
Oh_Oh_e,rx_10,Directed
rx_10,Oh_Oh_c,Directed
Oh_Oh_c,rx_11,Directed
Hf_c,rx_11,Directed
Coproporphyrinogen_III_c,rx_11,Directed
rx_11,Protoporphyrinogen_IX_c,Directed
rx_11,HhO_HhO_c,Directed
rx_11,COh_COh_c_sink,Directed
Indole_c,rx_12,Directed
LcSerine_c,rx_12,Directed
rx_12,LcTryptophan_c,Directed
rx_12,HhO_HhO_c,Directed
Hf_e,rx_13,Directed
LcMalate_e,rx_13,Directed
rx_13,LcMalate_c,Directed
rx_13,Hf_c,Directed
Acrylamide_e,rx_14,Directed
DcGlucose_c,rx_15,Directed
ATP_ChhHhhNhOhhPh_c,rx_15,Directed
rx_15,Hf_c,Directed
rx_15,DcGlucose_hcphosphate_c,Directed
rx_15,ADP_ChhHhhNhOhhPh_c,Directed
Carbamoyl_phosphate_c,rx_16,Directed
LcAspartate_c,rx_16,Directed
rx_16,Hf_c,Directed
rx_16,NcCarbamoylcLcaspartate_c,Directed
rx_16,Phosphate_c,Directed
_hcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,rx_17,Directed
ATP_ChhHhhNhOhhPh_c,rx_17,Directed
rx_17,_hcphosphochcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,Directed
rx_17,Hf_c,Directed
rx_17,ADP_ChhHhhNhOhhPh_c,Directed
Sedoheptulose_hcphosphate_c,rx_18,Directed
rx_18,DcGlycerocDcmannocheptose_hcphosphate_c,Directed
Adenine_e,rx_19,Directed
Hf_e,rx_19,Directed
rx_19,Hf_c,Directed
rx_19,Adenine_c,Directed
LcTyrosine_e,rx_20,Directed
Pyruvate_c,rx_21,Directed
LcAspartate_hcsemialdehyde_c,rx_21,Directed
rx_21,Hf_c,Directed
rx_21,_hghcDihydrodipicolinate_c,Directed
rx_21,HhO_HhO_c,Directed
Trans_h_Hydroxy_L_proline_ChHhNOh_c,rx_22,Directed
Nicotinamide_adenine_dinucleotide_c,rx_22,Directed
rx_22,L_h_Pyrroline_h_hydroxy_h_carboxylate_ChHhNOh_c,Directed
rx_22,Hf_c,Directed
rx_22,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
Guanine_e,rx_23,Directed
rx_23,Guanine_c,Directed
_hcOxoglutarate_e,rx_24,Directed
_hcDehydrochcdeoxycDcgluconate_hcphosphate_c,rx_25,Directed
rx_25,Pyruvate_c,Directed
rx_25,Glyceraldehyde_hcphosphate_c,Directed
dRechghcDihydroxychcmethylbutanoate_c,rx_26,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_26,Directed
rx_26,Hf_c,Directed
rx_26,dSechcAcetolactate_c,Directed
rx_26,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_27,Directed
LcAsparagine_e,rx_27,Directed
HhO_HhO_c,rx_27,Directed
rx_27,Hf_c,Directed
rx_27,ADP_ChhHhhNhOhhPh_c,Directed
rx_27,Phosphate_c,Directed
rx_27,LcAsparagine_c,Directed
Hf_c,rx_28,Directed
_hcOxoglutarate_c,rx_28,Directed
Thiamine_diphosphate_c,rx_28,Directed
rx_28,Succinate_semialdehydecthiamin_diphosphate_anion_c,Directed
rx_28,COh_COh_c_sink,Directed
Nitric_oxide_e,rx_29,Directed
rx_29,Nitric_oxide_c,Directed
UTP_ChHhhNhOhhPh_c,rx_30,Directed
Hf_c,rx_30,Directed
NcAcetylcDcglucosamine_hcphosphate_c,rx_30,Directed
rx_30,Diphosphate_c,Directed
rx_30,UDPcNcacetylcDcglucosamine_c,Directed
Isopentenyl_diphosphate_c,rx_31,Directed
Geranyl_diphosphate_c,rx_31,Directed
rx_31,Diphosphate_c,Directed
rx_31,Farnesyl_diphosphate_c,Directed
_hcOxoglutarate_c,rx_32,Directed
LcPhenylalanine_c,rx_32,Directed
rx_32,LcGlutamate_c,Directed
rx_32,Phenylpyruvate_c,Directed
Prephenate_c,rx_33,Directed
Hf_c,rx_33,Directed
rx_33,Phenylpyruvate_c,Directed
rx_33,HhO_HhO_c,Directed
rx_33,COh_COh_c_sink,Directed
Phosphoenolpyruvate_c,rx_34,Directed
UDPcNcacetylcDcglucosamine_c,rx_34,Directed
rx_34,UDPcNcacetylchcOcdhccarboxyvinylecDcglucosamine_c,Directed
rx_34,Phosphate_c,Directed
_hcOxoglutarate_c,rx_35,Directed
