Id,Label,Cat
DcGlucosamine_hcphosphate_c,DcGlucosamine_hcphosphate_c,Species
GTP_ChhHhhNhOhhPh_c,GTP_ChhHhhNhOhhPh_c,Species
HhO_HhO_c,HhO_HhO_c,Species
Diphosphate_c,Diphosphate_c,Species
Hf_c,Hf_c,Species
Formate_c,Formate_c,Species
_h_h_Diamino_h_hydroxy_h__h__phosphoribosylamino__pyrimidine_ChHhhNhOhP_c,_h_h_Diamino_h_hydroxy_h__h__phosphoribosylamino__pyrimidine_ChHhhNhOhP_c,Species
ATP_ChhHhhNhOhhPh_c,ATP_ChhHhhNhOhhPh_c,Species
_hghcDiaminononanoate_c,_hghcDiaminononanoate_c,Species
COh_COh_c_source,COh_COh_c_source,Species
ADP_ChhHhhNhOhhPh_c,ADP_ChhHhhNhOhhPh_c,Species
Dethiobiotin_c,Dethiobiotin_c,Species
Phosphate_c,Phosphate_c,Species
CicdhcIndolylecglycerol_hcphosphate_c,CicdhcIndolylecglycerol_hcphosphate_c,Species
Indole_c,Indole_c,Species
Glyceraldehyde_hcphosphate_c,Glyceraldehyde_hcphosphate_c,Species
Ammonium_c,Ammonium_c,Species
LcGlutamate_c,LcGlutamate_c,Species
LcGlutamine_c,LcGlutamine_c,Species
Dihydroxyacetone_phosphate_c,Dihydroxyacetone_phosphate_c,Species
LcAspartate_c,LcAspartate_c,Species
_hcPhosphocLcaspartate_c,_hcPhosphocLcaspartate_c,Species
Adenine_e,Adenine_e,Species
Carbonic_acid_c,Carbonic_acid_c,Species
Oh_Oh_e,Oh_Oh_e,Species
Oh_Oh_c,Oh_Oh_c,Species
Coproporphyrinogen_III_c,Coproporphyrinogen_III_c,Species
Protoporphyrinogen_IX_c,Protoporphyrinogen_IX_c,Species
COh_COh_c_sink,COh_COh_c_sink,Species
LcSerine_c,LcSerine_c,Species
LcTryptophan_c,LcTryptophan_c,Species
Hf_e,Hf_e,Species
LcMalate_e,LcMalate_e,Species
LcMalate_c,LcMalate_c,Species
Acrylamide_e,Acrylamide_e,Species
DcGlucose_c,DcGlucose_c,Species
DcGlucose_hcphosphate_c,DcGlucose_hcphosphate_c,Species
Carbamoyl_phosphate_c,Carbamoyl_phosphate_c,Species
NcCarbamoylcLcaspartate_c,NcCarbamoylcLcaspartate_c,Species
_hcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,_hcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,Species
_hcphosphochcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,_hcphosphochcdcytidine_hicdiphosphoechcCcmethylcDcerythritol_c,Species
Sedoheptulose_hcphosphate_c,Sedoheptulose_hcphosphate_c,Species
DcGlycerocDcmannocheptose_hcphosphate_c,DcGlycerocDcmannocheptose_hcphosphate_c,Species
Adenine_c,Adenine_c,Species
LcTyrosine_e,LcTyrosine_e,Species
Pyruvate_c,Pyruvate_c,Species
LcAspartate_hcsemialdehyde_c,LcAspartate_hcsemialdehyde_c,Species
_hghcDihydrodipicolinate_c,_hghcDihydrodipicolinate_c,Species
Trans_h_Hydroxy_L_proline_ChHhNOh_c,Trans_h_Hydroxy_L_proline_ChHhNOh_c,Species
Nicotinamide_adenine_dinucleotide_c,Nicotinamide_adenine_dinucleotide_c,Species
L_h_Pyrroline_h_hydroxy_h_carboxylate_ChHhNOh_c,L_h_Pyrroline_h_hydroxy_h_carboxylate_ChHhNOh_c,Species
Nicotinamide_adenine_dinucleotide_c_reduced_c,Nicotinamide_adenine_dinucleotide_c_reduced_c,Species
Guanine_e,Guanine_e,Species
Guanine_c,Guanine_c,Species
_hcOxoglutarate_e,_hcOxoglutarate_e,Species
_hcDehydrochcdeoxycDcgluconate_hcphosphate_c,_hcDehydrochcdeoxycDcgluconate_hcphosphate_c,Species
dRechghcDihydroxychcmethylbutanoate_c,dRechghcDihydroxychcmethylbutanoate_c,Species
Nicotinamide_adenine_dinucleotide_phosphate_c,Nicotinamide_adenine_dinucleotide_phosphate_c,Species
dSechcAcetolactate_c,dSechcAcetolactate_c,Species
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Species
LcAsparagine_e,LcAsparagine_e,Species
LcAsparagine_c,LcAsparagine_c,Species
_hcOxoglutarate_c,_hcOxoglutarate_c,Species
Thiamine_diphosphate_c,Thiamine_diphosphate_c,Species
Succinate_semialdehydecthiamin_diphosphate_anion_c,Succinate_semialdehydecthiamin_diphosphate_anion_c,Species
Nitric_oxide_e,Nitric_oxide_e,Species
Nitric_oxide_c,Nitric_oxide_c,Species
UTP_ChHhhNhOhhPh_c,UTP_ChHhhNhOhhPh_c,Species
NcAcetylcDcglucosamine_hcphosphate_c,NcAcetylcDcglucosamine_hcphosphate_c,Species
UDPcNcacetylcDcglucosamine_c,UDPcNcacetylcDcglucosamine_c,Species
Isopentenyl_diphosphate_c,Isopentenyl_diphosphate_c,Species
Geranyl_diphosphate_c,Geranyl_diphosphate_c,Species
Farnesyl_diphosphate_c,Farnesyl_diphosphate_c,Species
LcPhenylalanine_c,LcPhenylalanine_c,Species
Phenylpyruvate_c,Phenylpyruvate_c,Species
Prephenate_c,Prephenate_c,Species
Phosphoenolpyruvate_c,Phosphoenolpyruvate_c,Species
UDPcNcacetylchcOcdhccarboxyvinylecDcglucosamine_c,UDPcNcacetylchcOcdhccarboxyvinylecDcglucosamine_c,Species
LcIsoleucine_c,LcIsoleucine_c,Species
dSechcMethylchcoxopentanoate_c,dSechcMethylchcoxopentanoate_c,Species
LcArginine_e,LcArginine_e,Species
LcArginine_c,LcArginine_c,Species
LcCysteine_c,LcCysteine_c,Species
Biotin_c,Biotin_c,Species
LcAlanine_c,LcAlanine_c,Species
OcSuccinylcLchomoserine_c,OcSuccinylcLchomoserine_c,Species
LcCystathionine_c,LcCystathionine_c,Species
Succinate_c,Succinate_c,Species
Xanthine_e,Xanthine_e,Species
_hcphosphocDcgluconochghclactone_c,_hcphosphocDcgluconochghclactone_c,Species
LcCitrulline_c,LcCitrulline_c,Species
NdomegaecdLcArgininoesuccinate_c,NdomegaecdLcArgininoesuccinate_c,Species
AMP_ChhHhhNhOhP_c,AMP_ChhHhhNhOhP_c,Species
_hcPhosphocDcgluconate_c,_hcPhosphocDcgluconate_c,Species
dSecDihydroorotate_c,dSecDihydroorotate_c,Species
_hcdhcCarboxyphenylaminoechcdeoxycDcribulose_hcphosphate_c,_hcdhcCarboxyphenylaminoechcdeoxycDcribulose_hcphosphate_c,Species
OcPhosphocLchomoserine_c,OcPhosphocLchomoserine_c,Species
LcThreonine_c,LcThreonine_c,Species
LcGlutamate_e,LcGlutamate_e,Species
LcCysteine_e,LcCysteine_e,Species
PimeloylcCoA_c,PimeloylcCoA_c,Species
Coenzyme_A_c,Coenzyme_A_c,Species
_hcAminochcoxononanoate_c,_hcAminochcoxononanoate_c,Species
_hcOcdhcCarboxyvinylechcphosphoshikimate_c,_hcOcdhcCarboxyvinylechcphosphoshikimate_c,Species
Chorismate_c,Chorismate_c,Species
Iminoaspartate_c,Iminoaspartate_c,Species
Acetate_e,Acetate_e,Species
Succinate_e,Succinate_e,Species
_hcDeoxycDcmannochcoctulosonate_c,_hcDeoxycDcmannochcoctulosonate_c,Species
CTP_ChHhhNhOhhPh_c,CTP_ChHhhNhOhhPh_c,Species
CMPchcdeoxycDcmannococtulosonate_c,CMPchcdeoxycDcmannococtulosonate_c,Species
AcetylcCoA_c,AcetylcCoA_c,Species
OcAcetylcLcserine_c,OcAcetylcLcserine_c,Species
OcSuccinylbenzoate_c,OcSuccinylbenzoate_c,Species
OcSuccinylbenzoylcCoA_c,OcSuccinylbenzoylcCoA_c,Species
Sodium_e,Sodium_e,Species
LcProline_e,LcProline_e,Species
Sodium_c,Sodium_c,Species
LcProline_c,LcProline_c,Species
Nitrate_e,Nitrate_e,Species
LcLeucine_c,LcLeucine_c,Species
_hcMethylchcoxopentanoate_c,_hcMethylchcoxopentanoate_c,Species
Ammonium_e,Ammonium_e,Species
LcGlutamate_hcsemialdehyde_c,LcGlutamate_hcsemialdehyde_c,Species
_hcAminochcoxopentanoate_c,_hcAminochcoxopentanoate_c,Species
DcFructose_hcphosphate_c,DcFructose_hcphosphate_c,Species
dRecPantothenate_c,dRecPantothenate_c,Species
DchicPhosphopantothenate_c,DchicPhosphopantothenate_c,Species
_hcPyrrolinechccarboxylate_c,_hcPyrrolinechccarboxylate_c,Species
AcetoacetylcCoA_c,AcetoacetylcCoA_c,Species
Formate_e,Formate_e,Species
Formamide_c,Formamide_c,Species
DcRibulose_hcphosphate_c,DcRibulose_hcphosphate_c,Species
AlphacDcRibose_hcphosphate_c,AlphacDcRibose_hcphosphate_c,Species
_hcPhosphocalphacDcribose_hcdiphosphate_c,_hcPhosphocalphacDcribose_hcdiphosphate_c,Species
dSechcAcetochchydroxybutanoate_c,dSechcAcetochchydroxybutanoate_c,Species
dRechghcDihydroxychcmethylpentanoate_c,dRechghcDihydroxychcmethylpentanoate_c,Species
Agmatine_c,Agmatine_c,Species
Urea_CHhNhO_c,Urea_CHhNhO_c,Species
Putrescine_c,Putrescine_c,Species
Menaquinone_h_c,Menaquinone_h_c,Species
Orotate_ChHhNhOh_c,Orotate_ChHhNhOh_c,Species
Menaquinol_h_c,Menaquinol_h_c,Species
_hghhcMethenyltetrahydrofolate_c,_hghhcMethenyltetrahydrofolate_c,Species
_hhcFormyltetrahydrofolate_c,_hhcFormyltetrahydrofolate_c,Species
_hcCcmethylcDcerythritol_hcphosphate_c,_hcCcmethylcDcerythritol_hcphosphate_c,Species
UDPglucose_c,UDPglucose_c,Species
UDPgalactose_c,UDPgalactose_c,Species
DTDP_ChhHhhNhOhhPh_c,DTDP_ChhHhhNhOhhPh_c,Species
DTTP_ChhHhhNhOhhPh_c,DTTP_ChhHhhNhOhhPh_c,Species
Superoxide_anion_c,Superoxide_anion_c,Species
Hydrogen_peroxide_c,Hydrogen_peroxide_c,Species
_hcAminochchydroxychcderythrochghghctrihydroxypropyledihydropteridine_triphosphate_c,_hcAminochchydroxychcderythrochghghctrihydroxypropyledihydropteridine_triphosphate_c,Species
Dihydroneopterin_monophosphate_c,Dihydroneopterin_monophosphate_c,Species
DcGlucose_e,DcGlucose_e,Species
Orotidine_hicphosphate_c,Orotidine_hicphosphate_c,Species
UMP_ChHhhNhOhP_c,UMP_ChHhhNhOhP_c,Species
DcLactate_c,DcLactate_c,Species
Undecaprenyl_diphosphate_c,Undecaprenyl_diphosphate_c,Species
Undecaprenyl_phosphate_c,Undecaprenyl_phosphate_c,Species
DcGlycerate_hcphosphate_c,DcGlycerate_hcphosphate_c,Species
_hcPhosphocDcglycerate_c,_hcPhosphocDcglycerate_c,Species
Glycerol_c,Glycerol_c,Species
Glycerol_hcphosphate_c,Glycerol_hcphosphate_c,Species
DCTP_ChHhhNhOhhPh_c,DCTP_ChHhhNhOhhPh_c,Species
DUTP_ChHhhNhOhhPh_c,DUTP_ChHhhNhOhhPh_c,Species
Bicarbonate_c,Bicarbonate_c,Species
Ornithine_c,Ornithine_c,Species
Deoxyuridine_e,Deoxyuridine_e,Species
Deoxyuridine_c,Deoxyuridine_c,Species
Deoxyadenosine_e,Deoxyadenosine_e,Species
IMP_ChhHhhNhOhP_c,IMP_ChhHhhNhOhP_c,Species
_hcFormamidochcdhcphosphocDcribosyleimidazolechccarboxamide_c,_hcFormamidochcdhcphosphocDcribosyleimidazolechccarboxamide_c,Species
Riboflavin_ChhHhhNhOh_c,Riboflavin_ChhHhhNhOh_c,Species
FMN_ChhHhhNhOhP_c,FMN_ChhHhhNhOhP_c,Species
_hcDehydroquinate_c,_hcDehydroquinate_c,Species
_hcDehydroshikimate_c,_hcDehydroshikimate_c,Species
Adenosine_e,Adenosine_e,Species
Adenosine_c,Adenosine_c,Species
Nicotinate_Dcribonucleotide_c,Nicotinate_Dcribonucleotide_c,Species
DeaminocNADf_c,DeaminocNADf_c,Species
_hcMethylchcoxobutanoate_c,_hcMethylchcoxobutanoate_c,Species
_hghhcMethylenetetrahydrofolate_c,_hghhcMethylenetetrahydrofolate_c,Species
_hcDehydropantoate_c,_hcDehydropantoate_c,Species
_hghghghcTetrahydrofolate_c,_hghghghcTetrahydrofolate_c,Species
BetacAlanine_c,BetacAlanine_c,Species
_hcAminochcdhicphosphoribitylaminoeuracil_c,_hcAminochcdhicphosphoribitylaminoeuracil_c,Species
_hcdhcDcRibitylaminoechcaminouracil_c,_hcdhcDcRibitylaminoechcaminouracil_c,Species
DUMP_ChHhhNhOhP_c,DUMP_ChHhhNhOhP_c,Species
DUDP_ChHhhNhOhhPh_c,DUDP_ChHhhNhOhhPh_c,Species
_hghcDihydrofolate_c,_hghcDihydrofolate_c,Species
Hydrogen_e,Hydrogen_e,Species
Phosphate_e,Phosphate_e,Species
_hcPhosphohydroxypyruvate_c,_hcPhosphohydroxypyruvate_c,Species
Guanosine_e,Guanosine_e,Species
Guanosine_c,Guanosine_c,Species
Protoheme_ChhHhhFeNhOh_e,Protoheme_ChhHhhFeNhOh_e,Species
HhO_HhO_e,HhO_HhO_e,Species
COh_COh_e,COh_COh_e,Species
NhcdhghcDicarboxyethylecAMP_c,NhcdhghcDicarboxyethylecAMP_c,Species
GDP_ChhHhhNhOhhPh_c,GDP_ChhHhhNhOhhPh_c,Species
LcValine_e,LcValine_e,Species
Malonyl_CoA_ChhHhhNhOhhPhS_c,Malonyl_CoA_ChhHhhNhOhhPhS_c,Species
Acrylamide_c,Acrylamide_c,Species
Acrylic_acid_c,Acrylic_acid_c,Species
DcMannose_hcphosphate_c,DcMannose_hcphosphate_c,Species
Fumarate_c,Fumarate_c,Species
_hcMethylchcdhchydroxyethylecthiazole_c,_hcMethylchcdhchydroxyethylecthiazole_c,Species
_hcMethylchcdhcphosphoethylecthiazole_c,_hcMethylchcdhcphosphoethylecthiazole_c,Species
LcHomoserine_c,LcHomoserine_c,Species
LLchghcDiaminoheptanedioate_c,LLchghcDiaminoheptanedioate_c,Species
MesochghcDiaminoheptanedioate_c,MesochghcDiaminoheptanedioate_c,Species
Acetate_c,Acetate_c,Species
Acetyl_phosphate_c,Acetyl_phosphate_c,Species
UDP_ChHhhNhOhhPh_c,UDP_ChHhhNhOhhPh_c,Species
LcTyrosine_c,LcTyrosine_c,Species
_hcdhcHydroxyphenylepyruvate_c,_hcdhcHydroxyphenylepyruvate_c,Species
Pyruvate_e,Pyruvate_e,Species
Isochorismate_c,Isochorismate_c,Species
_hcSuccinylchchydroxychghccyclohexadienechccarboxylate_c,_hcSuccinylchchydroxychghccyclohexadienechccarboxylate_c,Species
Sulfate_e,Sulfate_e,Species
Thiamin_e,Thiamin_e,Species
Thiamin_c,Thiamin_c,Species
_hcMethylchcaminochchydroxymethylpyrimidine_diphosphate_c,_hcMethylchcaminochchydroxymethylpyrimidine_diphosphate_c,Species
Thiamin_monophosphate_c,Thiamin_monophosphate_c,Species
Acetoacetate_e,Acetoacetate_e,Species
NhcdhcPhosphocDcribosyleglycinamide_c,NhcdhcPhosphocDcribosyleglycinamide_c,Species
NhcFormylcNhcdhcphosphocDcribosyleglycinamide_c,NhcFormylcNhcdhcphosphocDcribosyleglycinamide_c,Species
LcMethionine_c,LcMethionine_c,Species
ScAdenosylcLcmethionine_c,ScAdenosylcLcmethionine_c,Species
_hcdeoxycDcxylulose_hcphosphate_c,_hcdeoxycDcxylulose_hcphosphate_c,Species
_hcMethylthioadenosine_c,_hcMethylthioadenosine_c,Species
_hcMethylthiocDcribose_c,_hcMethylthiocDcribose_c,Species
DcSerine_e,DcSerine_e,Species
DcSerine_c,DcSerine_c,Species
_hghcdihydroxychcbutanone_hcphosphate_c,_hghcdihydroxychcbutanone_hcphosphate_c,Species
_hghcDimethylchcdhcDcribitylelumazine_c,_hghcDimethylchcdhcDcribitylelumazine_c,Species
_h_Amino_h_hydroxy_h_hydroxymethyl_h_h_dihydropteridine_ChHhNhOh_c,_h_Amino_h_hydroxy_h_hydroxymethyl_h_h_dihydropteridine_ChHhNhOh_c,Species
_h_Amino_h_hydroxy_h_hydroxymethyl_h_h_dihydropteridine_diphosphate_ChHhNhOhPh_c,_h_Amino_h_hydroxy_h_hydroxymethyl_h_h_dihydropteridine_diphosphate_ChHhNhOhPh_c,Species
Anthranilate_c,Anthranilate_c,Species
NcdhcPhosphocDcribosyleanthranilate_c,NcdhcPhosphocDcribosyleanthranilate_c,Species
Cytidine_e,Cytidine_e,Species
Cytidine_c,Cytidine_c,Species
DcFructose_hghcbisphosphate_c,DcFructose_hghcbisphosphate_c,Species
DcGlycerocDcmannocheptose_hghcbisphosphate_c,DcGlycerocDcmannocheptose_hghcbisphosphate_c,Species
Shikimate_c,Shikimate_c,Species
Shikimate_hcphosphate_c,Shikimate_hcphosphate_c,Species
ADPcDcglycerocDcmannocheptose_c,ADPcDcglycerocDcmannocheptose_c,Species
ADPcLcglycerocDcmannocheptose_c,ADPcLcglycerocDcmannocheptose_c,Species
Xanthosine_hicphosphate_c,Xanthosine_hicphosphate_c,Species
Porphobilinogen_c,Porphobilinogen_c,Species
Protoheme_ChhHhhFeNhOh_c,Protoheme_ChhHhhFeNhOh_c,Species
OcPhosphocLcserine_c,OcPhosphocLcserine_c,Species
Uracil_c,Uracil_c,Species
ScAdenosylcLchomocysteine_c,ScAdenosylcLchomocysteine_c,Species
ScRibosylcLchomocysteine_c,ScRibosylcLchomocysteine_c,Species
_hcaminochcdeoxychorismate_c,_hcaminochcdeoxychorismate_c,Species
_hcPhosphocbetacDcribosylamine_c,_hcPhosphocbetacDcribosylamine_c,Species
AlphacDcGalactose_hcphosphate_c,AlphacDcGalactose_hcphosphate_c,Species
DcXylulose_hcphosphate_c,DcXylulose_hcphosphate_c,Species
DcErythrose_hcphosphate_c,DcErythrose_hcphosphate_c,Species
_hcDehydrochcdeoxycDcarabinocheptonate_hcphosphate_c,_hcDehydrochcdeoxycDcarabinocheptonate_hcphosphate_c,Species
DcGalactose_c,DcGalactose_c,Species
Acetamide_c,Acetamide_c,Species
Acetamide_e,Acetamide_e,Species
LcTryptophan_e,LcTryptophan_e,Species
Urea_CHhNhO_e,Urea_CHhNhO_e,Species
dSechcahcAminochcdhcphosphocDcribosyleimidazolechccarboxamidobsuccinate_c,dSechcahcAminochcdhcphosphocDcribosyleimidazolechccarboxamidobsuccinate_c,Species
_hcAminochcdhcPhosphocDcribosyleimidazolechccarboxamide_c,_hcAminochcdhcPhosphocDcribosyleimidazolechccarboxamide_c,Species
Adenosine_highicbisphosphate_c,Adenosine_highicbisphosphate_c,Species
_hcAminobenzoate_c,_hcAminobenzoate_c,Species
Dihydropteroate_c,Dihydropteroate_c,Species
Glyoxylate_c,Glyoxylate_c,Species
L_erythro_h_Hydroxyglutamate_ChHhNOh_c,L_erythro_h_Hydroxyglutamate_ChHhNOh_c,Species
AllctranscOctaprenyl_diphosphate_c,AllctranscOctaprenyl_diphosphate_c,Species
LcLeucine_e,LcLeucine_e,Species
LcAlanine_e,LcAlanine_e,Species
Hypoxanthine_c,Hypoxanthine_c,Species
DcAlanine_e,DcAlanine_e,Species
Hydroxymethylbilane_c,Hydroxymethylbilane_c,Species
Uroporphyrinogen_III_c,Uroporphyrinogen_III_c,Species
NcSuccinylcLLchghcdiaminoheptanedioate_c,NcSuccinylcLLchghcdiaminoheptanedioate_c,Species
_hcHydroxybenzoate_c,_hcHydroxybenzoate_c,Species
_hcOctaprenylchchydroxybenzoate_c,_hcOctaprenylchchydroxybenzoate_c,Species
LcValine_c,LcValine_c,Species
Xanthine_c,Xanthine_c,Species
Isocitrate_c,Isocitrate_c,Species
Uracil_e,Uracil_e,Species
Hydrogen_sulfide_c,Hydrogen_sulfide_c,Species
O_Acetyl_L_homoserine_ChHhhNOh_c,O_Acetyl_L_homoserine_ChHhhNOh_c,Species
LcHomocysteine_c,LcHomocysteine_c,Species
UDPcNcacetylmuramoylcLcalanylcDcglutamylcmesochghcdiaminopimeloylcDcalanylcDcalanine_c,UDPcNcacetylmuramoylcLcalanylcDcglutamylcmesochghcdiaminopimeloylcDcalanylcDcalanine_c,Species
UndecaprenylcdiphosphocNcacetylmuramoylcLcalanylcDcglutamylcmesochghcdiaminopimeloylcDcalanylcDcalanine_c,UndecaprenylcdiphosphocNcacetylmuramoylcLcalanylcDcglutamylcmesochghcdiaminopimeloylcDcalanylcDcalanine_c,Species
_hcMethyltetrahydrofolate_c,_hcMethyltetrahydrofolate_c,Species
Flavin_adenine_dinucleotide_oxidized_c,Flavin_adenine_dinucleotide_oxidized_c,Species
Hypoxanthine_e,Hypoxanthine_e,Species
Biotinyl_h__AMP_ChhHhhNhOhPS_c,Biotinyl_h__AMP_ChhHhhNhOhPS_c,Species
_hcMethylthiochcdeoxycDcribulose_hcphosphate_c,_hcMethylthiochcdeoxycDcribulose_hcphosphate_c,Species
_hghcdiketochcmethylthiochcphosphopentane_c,_hghcdiketochcmethylthiochcphosphopentane_c,Species
_h_Hydroxy_h_oxoglutarate_ChHhOh_c,_h_Hydroxy_h_oxoglutarate_ChHhOh_c,Species
_hcaminochcdhcphosphocDcribosyleimidazolechccarboxylate_c,_hcaminochcdhcphosphocDcribosyleimidazolechccarboxylate_c,Species
_hchydroxychcmethylchdhHecfuranone_c,_hchydroxychcmethylchdhHecfuranone_c,Species
DcAlanine_c,DcAlanine_c,Species
DcAlanylcDcalanine_c,DcAlanylcDcalanine_c,Species
Fumarate_e,Fumarate_e,Species
NMN_ChhHhhNhOhP_e,NMN_ChhHhhNhOhP_e,Species
L_h_Hydroxyglutamate_semialdehyde_ChHhNOh_c,L_h_Hydroxyglutamate_semialdehyde_ChHhNOh_c,Species
Nitrate_c,Nitrate_c,Species
_hcMethylthiochcdeoxycDcribose_hcphosphate_c,_hcMethylthiochcdeoxycDcribose_hcphosphate_c,Species
_hcCcmethylcDcerythritol_hghccyclodiphosphate_c,_hcCcmethylcDcerythritol_hghccyclodiphosphate_c,Species
_hchydroxychcmethylchcdEecbutenyl_hcdiphosphate_c,_hchydroxychcmethylchcdEecbutenyl_hcdiphosphate_c,Species
UDPcNcacetylmuramoylcLcalanylcDcgammacglutamylcmesochghcdiaminopimelate_c,UDPcNcacetylmuramoylcLcalanylcDcgammacglutamylcmesochghcdiaminopimelate_c,Species
LcGlutamine_e,LcGlutamine_e,Species
LcLactate_c,LcLactate_c,Species
LcThreonine_e,LcThreonine_e,Species
Uroporphyrinogen_I_c,Uroporphyrinogen_I_c,Species
Coproporphyrinogen_I_c,Coproporphyrinogen_I_c,Species
_hcPhosphocDcglyceroyl_phosphate_c,_hcPhosphocDcglyceroyl_phosphate_c,Species
DGMP_ChhHhhNhOhP_c,DGMP_ChhHhhNhOhP_c,Species
DGDP_ChhHhhNhOhhPh_c,DGDP_ChhHhhNhOhhPh_c,Species
LcSerine_e,LcSerine_e,Species
Oxaloacetate_c,Oxaloacetate_c,Species
Citrate_c,Citrate_c,Species
Thymidine_ChhHhhNhOh_e,Thymidine_ChhHhhNhOh_e,Species
Thymidine_ChhHhhNhOh_c,Thymidine_ChhHhhNhOh_c,Species
Ethanol_e,Ethanol_e,Species
Ethanol_c,Ethanol_c,Species
DcRibose_c,DcRibose_c,Species
Deoxycytidine_e,Deoxycytidine_e,Species
Deoxycytidine_c,Deoxycytidine_c,Species
Deoxyadenosine_c,Deoxyadenosine_c,Species
GDPchcdehydrochcdeoxycDcmannose_c,GDPchcdehydrochcdeoxycDcmannose_c,Species
GDPcLcfucose_c,GDPcLcfucose_c,Species
dRecPantoate_c,dRecPantoate_c,Species
Glycine_c,Glycine_c,Species
DAMP_ChhHhhNhOhP_c,DAMP_ChhHhhNhOhP_c,Species
DADP_ChhHhhNhOhPh_c,DADP_ChhHhhNhOhPh_c,Species
_hcAminochcdhicphosphoribosylaminoeuracil_c,_hcAminochcdhicphosphoribosylaminoeuracil_c,Species
CMP_ChHhhNhOhP_c,CMP_ChHhhNhOhP_c,Species
CDP_ChHhhNhOhhPh_c,CDP_ChHhhNhOhhPh_c,Species
Reduced_FMN_c,Reduced_FMN_c,Species
DephosphocCoA_c,DephosphocCoA_c,Species
ScAdenosylmethioninamine_c,ScAdenosylmethioninamine_c,Species
Spermidine_c,Spermidine_c,Species
ScAdenosylchcmethylthiochcoxobutanoate_c,ScAdenosylchcmethylthiochcoxobutanoate_c,Species
DGTP_ChhHhhNhOhhPh_c,DGTP_ChhHhhNhOhhPh_c,Species
LcAspartate_e,LcAspartate_e,Species
Glycine_e,Glycine_e,Species
NMN_ChhHhhNhOhP_c,NMN_ChhHhhNhOhP_c,Species
DTMP_ChhHhhNhOhP_c,DTMP_ChhHhhNhOhP_c,Species
Ornithine_e,Ornithine_e,Species
Carbonic_acid_e,Carbonic_acid_e,Species
LcLactate_e,LcLactate_e,Species
LcPhenylalanine_e,LcPhenylalanine_e,Species
Inosine_c,Inosine_c,Species
_hghghghcTetrahydrodipicolinate_c,_hghghghcTetrahydrodipicolinate_c,Species
SuccinylcCoA_c,SuccinylcCoA_c,Species
NcSuccinylchcLcaminochcoxoheptanedioate_c,NcSuccinylchcLcaminochcoxoheptanedioate_c,Species
DcGalactose_e,DcGalactose_e,Species
GMP_ChhHhhNhOhP_c,GMP_ChhHhhNhOhP_c,Species
Orotate_ChHhNhOh_e,Orotate_ChHhNhOh_e,Species
Nitrite_e,Nitrite_e,Species
_hcOctaprenylphenol_c,_hcOctaprenylphenol_c,Species
Quinolinate_c,Quinolinate_c,Species
_hcketochcmethylthiobutyrate_c,_hcketochcmethylthiobutyrate_c,Species
_hghcdihydroxychghcpentanedione_c,_hghcdihydroxychghcpentanedione_c,Species
Acetaldehyde_c,Acetaldehyde_c,Species
UDPcNcacetylmuramoylcLcalanylcDcglutamate_c,UDPcNcacetylmuramoylcLcalanylcDcglutamate_c,Species
UDPcNcacetylmuramate_c,UDPcNcacetylmuramate_c,Species
UDPcNcacetylmuramoylcLcalanine_c,UDPcNcacetylmuramoylcLcalanine_c,Species
DcArabinose_hcphosphate_c,DcArabinose_hcphosphate_c,Species
_hcAminochcmethylchcphosphomethylpyrimidine_c,_hcAminochcmethylchcphosphomethylpyrimidine_c,Species
LcIsoleucine_e,LcIsoleucine_e,Species
_hcdFormamidoecNhcdhcphosphocDcribosyleacetamidine_c,_hcdFormamidoecNhcdhcphosphocDcribosyleacetamidine_c,Species
