"(84, 5, 1, 470)","(338, 5)"
"(97, 1, 1, 183)","(397, 1)"
"(343, 19, 1, 391)","(159, 19)"
"(257, 11, 1, 292)","(326, 11)"
"(110, 38, 1, 361)","(227, 39)"
"(84, 3, 1, 15)","(338, 3)"
"(406, 7, 1, 308)","(106, 17)"
"(406, 3, 1, 433)","(106, 21)"
"(378, 3, 1, 3)","(361, 4)"
"(180, 12, 1, 82)","(144, 12)"
"(185, 1, 1, 412)","(190, 3)"
"(356, 5, 1, 89)","(340, 5)"
"(84, 10, 1, 438)","(338, 10)"
"(300, 1, 1, 152)","(245, 1)"
"(337, 29, 1, 11)","(88, 17)"
"(84, 4, 1, 7)","(338, 4)"
"(84, 4, 1, 95)","(338, 4)"
"(390, 8, 1, 104)","(141, 8)"
"(326, 12, 1, 203)","(257, 12)"
"(99, 26, 1, 320)","(226, 26)"
"(45, 5, 1, 324)","(92, 5)"
"(110, 11, 1, 361)","(227, 12)"
"(84, 2, 1, 380)","(338, 2)"
"(305, 8, 1, 145)","(53, 8)"
"(128, 1, 1, 174)","(69, 1)"
"(97, 6, 1, 183)","(246, 1)"
"(309, 3, 1, 469)","(169, 3)"
"(257, 17, 1, 150)","(326, 17)"
"(246, 3, 1, 220)","(304, 3)"
"(84, 2, 1, 367)","(269, 2)"
"(277, 4, 1, 102)","(225, 4)"
"(198, 3, 1, 441)","(399, 1)"
"(185, 6, 1, 412)","(235, 5)"
"(342, 2, 1, 389)","(90, 2)"
"(84, 7, 1, 223)","(338, 7)"
"(300, 6, 1, 152)","(245, 6)"
"(125, 1, 1, 378)","(141, 1)"
"(427, 1, 1, 330)","(323, 1)"
"(14, 23, 1, 201)","(249, 69)"
"(305, 10, 1, 337)","(98, 10)"
"(214, 3, 1, 121)","(177, 3)"
"(180, 1, 1, 265)","(144, 1)"
"(200, 7, 1, 365)","(341, 18)"
"(84, 4, 1, 213)","(338, 4)"
"(52, 2, 1, 100)","(75, 2)"
"(128, 6, 1, 174)","(69, 6)"
"(144, 9, 1, 187)","(180, 9)"
"(326, 4, 1, 350)","(257, 4)"
"(427, 3, 1, 12)","(235, 11)"
"(262, 10, 1, 94)","(371, 8)"
"(11, 4, 1, 19)","(354, 4)"
"(259, 5, 1, 5)","(258, 5)"
"(196, 19, 1, 456)","(247, 19)"
"(259, 5, 1, 339)","(176, 1)"
"(84, 5, 1, 41)","(197, 5)"
"(166, 3, 1, 96)","(318, 2)"
"(84, 5, 1, 272)","(338, 5)"
"(3, 5, 1, 327)","(282, 5)"
"(84, 1, 1, 123)","(338, 1)"
"(343, 7, 1, 391)","(159, 7)"
"(431, 12, 1, 439)","(257, 5)"
"(125, 6, 1, 378)","(141, 6)"
"(343, 8, 1, 80)","(159, 8)"
"(180, 6, 1, 265)","(144, 6)"
"(45, 13, 1, 324)","(92, 13)"
"(180, 10, 1, 294)","(144, 10)"
"(84, 1, 1, 228)","(338, 1)"
"(84, 3, 1, 469)","(338, 3)"
"(212, 1, 1, 184)","(205, 44)"
"(343, 21, 1, 265)","(159, 21)"
"(406, 12, 2, 65)","(341, 14)"
