"(260, 4, 1, 71)","(120, 2)"
"(84, 5, 1, 470)","(338, 5)"
"(97, 1, 1, 183)","(397, 1)"
"(84, 5, 1, 228)","(338, 5)"
"(84, 1, 1, 120)","(338, 1)"
"(159, 1, 1, 195)","(343, 1)"
"(84, 3, 1, 367)","(269, 3)"
"(84, 3, 1, 15)","(338, 3)"
"(84, 5, 1, 151)","(338, 5)"
"(406, 7, 1, 308)","(106, 5)"
"(406, 3, 1, 433)","(106, 1)"
"(200, 4, 1, 302)","(106, 4)"
"(361, 1, 1, 37)","(57, 1)"
"(185, 1, 1, 412)","(235, 2)"
"(262, 4, 1, 114)","(10, 5)"
"(84, 2, 1, 121)","(338, 2)"
"(300, 1, 1, 152)","(245, 1)"
"(84, 4, 1, 7)","(338, 4)"
"(84, 4, 1, 95)","(338, 4)"
"(257, 3, 1, 239)","(326, 3)"
"(343, 7, 1, 362)","(159, 7)"
"(159, 4, 1, 130)","(343, 4)"
"(84, 2, 1, 380)","(338, 2)"
"(84, 4, 1, 86)","(338, 4)"
"(128, 1, 1, 174)","(69, 1)"
"(135, 1, 1, 182)","(26, 1)"
"(406, 1, 1, 65)","(106, 7)"
"(258, 2, 1, 160)","(259, 1)"
"(159, 6, 1, 195)","(343, 6)"
"(202, 4, 1, 246)","(354, 5)"
"(354, 1, 1, 281)","(197, 1)"
"(365, 7, 1, 73)","(125, 7)"
"(84, 2, 1, 367)","(269, 2)"
"(84, 2, 1, 15)","(338, 2)"
"(277, 4, 1, 102)","(225, 4)"
"(406, 2, 1, 433)","(106, 6)"
"(198, 3, 1, 441)","(399, 3)"
"(406, 7, 1, 392)","(106, 5)"
"(324, 1, 1, 455)","(34, 1)"
"(309, 1, 1, 192)","(169, 1)"
"(378, 2, 1, 3)","(361, 2)"
"(252, 1, 1, 34)","(316, 3)"
"(427, 1, 1, 330)","(323, 1)"
"(125, 1, 1, 378)","(141, 1)"
"(390, 7, 1, 104)","(141, 7)"
"(200, 7, 1, 365)","(341, 1)"
"(257, 2, 1, 239)","(326, 2)"
"(84, 4, 1, 213)","(338, 4)"
"(84, 4, 1, 116)","(338, 4)"
"(326, 4, 1, 350)","(257, 4)"
"(257, 4, 1, 292)","(326, 4)"
"(154, 1, 1, 414)","(376, 1)"
"(406, 6, 1, 65)","(106, 4)"
"(84, 1, 1, 305)","(197, 1)"
"(201, 1, 1, 171)","(189, 1)"
"(11, 4, 1, 19)","(354, 4)"
"(326, 1, 1, 354)","(257, 1)"
"(84, 5, 1, 41)","(197, 5)"
"(198, 2, 1, 441)","(399, 2)"
"(84, 5, 1, 272)","(338, 5)"
"(343, 7, 1, 391)","(159, 7)"
"(257, 5, 1, 176)","(326, 5)"
"(84, 1, 1, 123)","(338, 1)"
"(343, 5, 1, 250)","(159, 5)"
"(125, 6, 1, 378)","(141, 6)"
"(68, 5, 1, 255)","(430, 5)"
"(150, 7, 1, 100)","(141, 7)"
"(106, 5, 1, 266)","(406, 7)"
"(84, 5, 1, 99)","(431, 5)"
"(84, 1, 1, 470)","(338, 1)"
"(84, 1, 1, 228)","(338, 1)"
"(84, 3, 1, 469)","(338, 3)"
"(84, 5, 1, 264)","(338, 5)"
"(84, 1, 1, 151)","(338, 1)"
"(225, 3, 1, 140)","(233, 3)"
"(326, 6, 1, 354)","(257, 6)"
"(91, 1, 1, 172)","(290, 4)"
"(257, 3, 1, 153)","(326, 3)"
"(154, 1, 1, 216)","(183, 1)"
"(45, 1, 1, 324)","(92, 1)"
"(196, 8, 1, 456)","(247, 8)"
"(257, 4, 1, 22)","(326, 4)"
"(84, 5, 1, 76)","(338, 5)"
"(343, 4, 1, 104)","(159, 4)"
"(428, 1, 1, 348)","(259, 1)"
"(343, 7, 1, 80)","(159, 7)"
"(412, 3, 1, 408)","(163, 3)"
"(343, 4, 1, 338)","(159, 4)"
"(81, 1, 1, 132)","(134, 1)"
"(84, 4, 1, 401)","(338, 4)"
"(84, 4, 1, 414)","(197, 4)"
"(27, 4, 1, 435)","(171, 4)"
"(84, 2, 1, 469)","(338, 2)"
"(84, 4, 1, 60)","(338, 4)"
"(84, 5, 1, 3)","(338, 5)"
"(367, 1, 1, 279)","(415, 1)"
"(305, 1, 1, 204)","(291, 1)"
"(428, 1, 1, 101)","(392, 1)"
"(257, 5, 1, 64)","(326, 5)"
"(225, 2, 1, 140)","(233, 4)"
"(159, 4, 1, 68)","(343, 4)"
"(84, 3, 1, 393)","(197, 3)"
"(347, 1, 1, 205)","(244, 1)"
"(405, 4, 1, 155)","(160, 4)"
"(343, 4, 1, 457)","(159, 4)"
"(84, 5, 1, 285)","(338, 5)"
"(257, 2, 1, 153)","(326, 2)"
"(406, 5, 1, 116)","(384, 3)"
"(196, 7, 1, 456)","(247, 7)"
"(397, 1, 1, 122)","(352, 1)"
"(412, 2, 1, 408)","(163, 2)"
"(33, 2, 1, 161)","(302, 2)"
"(84, 4, 1, 211)","(338, 4)"
"(343, 7, 1, 337)","(159, 7)"
"(259, 1, 1, 5)","(258, 2)"
"(263, 4, 1, 419)","(261, 4)"
