Phosphoglucosamine mutase
GTP cyclohydrolase II
Dethiobiotin synthase
Tryptophan synthase (indoleglycerol phosphate)
Glutamine synthetase
Triose-phosphate isomerase
Aspartate kinase
Adenine exchange
Carboxylic acid dissociation
O2 transport  diffusion 
Coproporphyrinogen oxidase (O2 required)
Tryptophan synthase (indole)
L malate reversible transport via proton symport
EX C01659 LPAREN e RPAREN 
Hexokinase (D-glucose:ATP)
Aspartate carbamoyltransferase
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
Sedoheptulose 7-phosphate isomerase
Adenine transport in via proton symport
L-Tyrosine exchange
Dihydrodipicolinate synthase
Trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase Arginine and proline metabolism EC:1.5.1.2
Guanine transport
2-Oxoglutarate exchange
2-dehydro-3-deoxy-phosphogluconate aldolase
"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)"
L-asparagine transport via ABC system
2-oxoglutarate decarboxylase
NO transport (diffusion)
UDP-N-acetylglucosamine diphosphorylase
Geranyltranstransferase
Phenylalanine transaminase
Prephenate dehydratase
UDP-N-acetylglucosamine 1-carboxyvinyltransferase
Isoleucine transaminase
L arganine reversible transport via proton symport
Biotin synthase (ala-L producing)
O-succinylhomoserine lyase (L-cysteine)
Xanthine exchange
G6PDH1
Argininosuccinate synthase
6-phosphogluconate dehydratase
Dihydroorotase
Indole-3-glycerol-phosphate synthase
Threonine synthase
L-Glutamate exchange
L-Cysteine exchange
8-amino-7-oxononanoate synthase
Chorismate synthase
L-aspartate oxidase
Acetate exchange
Succinate transport via proton symport
3-deoxy-manno-octulosonate cytidylyltransferase
Serine O-acetyltransferase
O-succinylbenzoate-CoA ligase
Na+/Proline-L symporter
Nitrate exchange
Leucine transaminase
Ammonia reversible transport
L-cysteine transport via ABC system
Glutamate-1-semialdehyde aminotransferase
Glutamine-fructose-6-phosphate transaminase
Pantothenate kinase
1-pyrroline-5-carboxylate dehydrogenase
Acetyl-CoA C-acetyltransferase
Formate transport via diffusion
FORAMD
Phosphogluconate dehydrogenase
Phosphoribosylpyrophosphate synthetase
Ketol-acid reductoisomerase (2-Acetolactate)
Agmatinase
DHORD3
Methenyltetrahydrofolate cyclohydrolase
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
UDPglucose 4-epimerase
Nucleoside-diphosphate kinase (ATP:dTDP)
Superoxide dismutase
Dihydroneopterin triphosphate pyrophosphatase
D-glucose transport in via proton symport
NADPHQR
Orotidine-5'-phosphate decarboxylase
LDH D1
Undecaprenyl-diphosphatase
Phosphoglycerate mutase
Inorganic diphosphatase
Glycerol kinase
DCTP deaminase
HCO3 equilibration reaction
Ribose-5-phosphate isomerase
Glucose-6-phosphate isomerase
Ornithine transaminase
Deoxyuridine transport in via proton symport
Deoxyadenosine exchange
IMP cyclohydrolase
Riboflavin kinase
"3-dehydroquinate dehydratase, irreversible"
Adenosine transport in via proton symport
Nitric oxide exchange
Nicotinate-nucleotide adenylyltransferase
3-methyl-2-oxobutanoate hydroxymethyltransferase
Aspartate 1-decarboxylase
Pyrimidine phosphatase
Uridylate kinase (dUMP)
Dihydrofolate reductase
H2 exchange
UTP-glucose-1-phosphate uridylyltransferase (irreversible)
Phosphate exchange
DCTP deaminase
Phosphoglycerate dehydrogenase
Guanosine transport in via proton symport
Protoheme exchange
H2O transport via diffusion
CO2 exchange
Adenylosuccinate synthase
L-Valine exchange
Acetyl-CoA carboxylase
R311-RXN
Mannose-6-phosphate isomerase
Argininosuccinate lyase
Hydroxyethylthiazole kinase
Homoserine kinase
Diaminopimelate epimerase
Acetate kinase
Nucleoside-diphosphate kinase (ATP:UDP)
Tyrosine transaminase
Pyruvate exchange
"2-succinyl-6-hydroxy-2,4-cyclohexadiene 1-carboxylate synthase"
GTP cyclohydrolase I
Adenylsuccinate lyase
Glutamate dehydrogenase (NADP)
Sulfate exchange
Thiamine transport via ABC system
Thiamine-phosphate diphosphorylase
Acetoacetate exchange
GAR transformylase-T
Methionine adenosyltransferase
1-deoxy-D-xylulose reductoisomerase
Methylthioadenosine nucleosidase
D-serine transport via proton symport
Riboflavin synthase
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
Anthranilate phosphoribosyltransferase
Enolase
Cytidine transport in via proton symport
Acid phosphatase (FMN)
Fructose-bisphosphatase
D-glycero-D-manno-heptose 7-phosphate kinase
Fructose-bisphosphate aldolase
Pyrroline-5-carboxylate reductase
L-alanine dehydrogenase
Shikimate kinase
ADP-D-glycero-D-manno-heptose epimerase
IMP dehydrogenase
Porphobilinogen synthase
Heme transport via ABC system
Phosphoserine transaminase
Uracil phosphoribosyltransferase
S-adenosylhomocysteine nucleosidase
PABB
Glutamine phosphoribosyldiphosphate amidotransferase
Galactose 1 phosphate uridylyltransferase
Ribulose 5-phosphate 3-epimerase
Thiamin exchange
3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase
ATP synthase (four protons for one ATP)
Galactokinase
Amidase
"Acetamide transport, extracellular "
L-Tryptophan exchange
Urea transport via facilitate diffusion
Deoxyuridine kinase (ATP:Deoxyuridine)
Adenylosuccinate lyase
"3',5'-bisphosphate nucleotidase"
Dihydropteroate synthase
Malate synthase
L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase
Octaprenyl pyrophosphate synthase
L-Leucine exchange
Alanine-Sodium symporter
Hypoxanthine phosphoribosyltransferase (Hypoxanthine)
D-Alanine exchange
Uroporphyrinogen-III synthase
Succinyl-diaminopimelate desuccinylase
Hydroxybenzoate octaprenyltransferase
Phosphoglucomutase
Valine transaminase
FRD5
Glycerol-3-phosphate dehydrogenase (NADP)
AAtr
Xanthine transport in via proton symport
Purine-nucleoside phosphorylase (Guanosine)
L proline reversible transport via proton symport
Phosphoribosylaminoimidazolecarboxamide formyltransferase
D-Glucose exchange
Isocitrate dehydrogenase (NADP)
Uracil transport in via proton symport
O acetylhomoserine  thiol  lyase
EX ahcys e
Aspartate-semialdehyde dehydrogenase
Phosphopentomutase
"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)"
4-aminobenzoate synthase
"5,10-methylenetetrahydrofolate reductase (NADH)"
FMN adenylyltransferase
Hypoxanthine transport
Glutaminase
Biotin acetyl CoA carboxylase ligase
5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase
2-dehydro-3-deoxy-phosphogluconate aldolase
UMP kinase
Phosphoribosylaminoimidazolesuccinocarboxamide synthase
Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system
D-alanine-D-alanine ligase (reversible)
Fumarate exchange
NMN exchange
CTP synthase  NH3 
4HGLSD
Nitrate transport in via proton symport
L-Arginine exchange
Succinate:fumarate antiporter
5-methylthioribose kinase
"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase"
L-leucine transport via ABC system
L tyrosine reversible transport via proton symport
Glucose 6-phosphate dehydrogenase
FUMt3
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase"
L-glutamine transport via ABC system
Lactate racemase
Guanosine exchange
L threonine reversible transport via proton symport
Uroporphyrinogen decarboxylase (uroporphyrinogen I)
Glyceraldehyde-3-phosphate dehydrogenase
Deoxyguanylate kinase (dGMP:ATP)
