Source,Target,Type
HhO_HhO_c,rx_1,Directed
GTP_ChhHhhNhOhhPh_c,rx_1,Directed
rx_1,Hf_c,Directed
rx_1,Diphosphate_c,Directed
rx_1,Formate_c,Directed
rx_1,_h_h_Diamino_h_hydroxy_h__h__phosphoribosylamino__pyrimidine_ChHhhNhOhP_c,Directed
Hf_c,rx_2,Directed
LcGlutamine_c,rx_2,Directed
Nicotinamide_adenine_dinucleotide_c_reduced_c,rx_2,Directed
_hcOxoglutarate_c,rx_2,Directed
rx_2,Nicotinamide_adenine_dinucleotide_c,Directed
rx_2,LcGlutamate_c,Directed
All_trans_Decaprenyl_diphosphate_c,rx_3,Directed
Isopentenyl_diphosphate_c,rx_3,Directed
rx_3,Diphosphate_c,Directed
rx_3,Undecaprenyl_diphosphate_c,Directed
Pyruvate_c,rx_4,Directed
LcAspartate_hcsemialdehyde_c,rx_4,Directed
rx_4,Hf_c,Directed
rx_4,HhO_HhO_c,Directed
rx_4,_hghcDihydrodipicolinate_c,Directed
HhO_HhO_c,rx_5,Directed
Succinic_semialdehyde_c,rx_5,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_5,Directed
rx_5,Hf_c,Directed
rx_5,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_5,Succinate_c,Directed
LcPhenylalanine_c,rx_6,Directed
_hcOxoglutarate_c,rx_6,Directed
rx_6,Phenylpyruvate_c,Directed
rx_6,LcGlutamate_c,Directed
UDPcNcacetylcDcglucosamine_c,rx_7,Directed
Phosphoenolpyruvate_c,rx_7,Directed
rx_7,UDPcNcacetylchcOcdhccarboxyvinylecDcglucosamine_c,Directed
rx_7,Phosphate_c,Directed
Glycerol_e,rx_8,Directed
LcIsoleucine_e,rx_9,Directed
Hf_e,rx_9,Directed
rx_9,Hf_c,Directed
rx_9,LcIsoleucine_c,Directed
Farnesyl_diphosphate_c,rx_10,Directed
Protoheme_ChhHhhFeNhOh_c,rx_10,Directed
HhO_HhO_c,rx_10,Directed
rx_10,Diphosphate_c,Directed
rx_10,Heme_O_ChhHhhFeNhOh_c,Directed
Trehalose_e,rx_11,Directed
LcCysteine_c,rx_12,Directed
OcSuccinylcLchomoserine_c,rx_12,Directed
rx_12,Hf_c,Directed
rx_12,LcCystathionine_c,Directed
rx_12,Succinate_c,Directed
Nicotinamide_e,rx_13,Directed
Methanol_c,rx_14,Directed
Nicotinamide_adenine_dinucleotide_c,rx_14,Directed
rx_14,Hf_c,Directed
rx_14,Formaldehyde_c,Directed
rx_14,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
LcCitrulline_c,rx_15,Directed
LcAspartate_c,rx_15,Directed
ATP_ChhHhhNhOhhPh_c,rx_15,Directed
rx_15,Hf_c,Directed
rx_15,Diphosphate_c,Directed
rx_15,AMP_ChhHhhNhOhP_c,Directed
rx_15,NdomegaecdLcArgininoesuccinate_c,Directed
dSechcHydroxyoctanoylcCoA_c,rx_16,Directed
rx_16,HhO_HhO_c,Directed
rx_16,TranscOctchcenoylcCoA_c,Directed
LcGlutamate_e,rx_17,Directed
Sucrose_hcphosphate_c,rx_18,Directed
HhO_HhO_c,rx_18,Directed
rx_18,DcFructose_c,Directed
rx_18,DcGlucose_hcphosphate_c,Directed
_hcOcdhcCarboxyvinylechcphosphoshikimate_c,rx_19,Directed
rx_19,Chorismate_c,Directed
rx_19,Phosphate_c,Directed
Hf_c,rx_20,Directed
LcAlanine_c,rx_20,Directed
PimeloylcCoA_c,rx_20,Directed
rx_20,Coenzyme_A_c,Directed
