"(317, 16, 1, 167)","(48, 16)"
"(440, 10, 1, 274)","(33, 10)"
"(33, 12, 1, 278)","(59, 12)"
"(182, 2, 1, 239)","(495, 2)"
"(9, 8, 1, 341)","(336, 8)"
"(51, 34, 1, 10)","(344, 33)"
"(459, 10, 1, 405)","(95, 10)"
"(136, 3, 1, 78)","(209, 3)"
"(459, 20, 1, 288)","(95, 20)"
"(432, 4, 1, 570)","(366, 4)"
"(341, 20, 1, 60)","(238, 20)"
"(6, 4, 1, 260)","(65, 4)"
"(458, 9, 1, 497)","(452, 9)"
"(249, 25, 1, 580)","(99, 25)"
"(95, 13, 1, 282)","(459, 13)"
"(387, 1, 1, 363)","(74, 11)"
"(494, 14, 1, 403)","(498, 14)"
"(310, 26, 1, 16)","(251, 26)"
"(275, 30, 1, 422)","(365, 27)"
"(333, 3, 1, 487)","(305, 3)"
"(325, 1, 1, 209)","(315, 1)"
"(387, 9, 1, 141)","(113, 15)"
"(459, 20, 1, 5)","(95, 20)"
"(536, 4, 1, 36)","(409, 4)"
"(402, 1, 1, 57)","(397, 1)"
"(446, 1, 1, 285)","(490, 4)"
"(238, 15, 1, 203)","(341, 15)"
"(387, 6, 1, 387)","(178, 14)"
"(161, 2, 1, 9)","(102, 2)"
"(95, 3, 1, 216)","(459, 3)"
"(493, 9, 1, 34)","(108, 7)"
"(459, 20, 1, 339)","(95, 20)"
"(359, 4, 1, 509)","(227, 4)"
"(451, 4, 1, 156)","(416, 5)"
"(432, 4, 1, 576)","(366, 4)"
"(283, 17, 1, 221)","(58, 8)"
"(387, 14, 2, 182)","(367, 16)"
"(180, 39, 1, 530)","(314, 1)"
"(166, 3, 1, 164)","(380, 6)"
"(249, 36, 1, 580)","(99, 36)"
"(311, 1, 1, 5)","(334, 1)"
"(298, 4, 1, 469)","(290, 5)"
"(159, 12, 1, 103)","(201, 12)"
"(249, 16, 1, 324)","(99, 16)"
"(99, 3, 1, 134)","(249, 3)"
"(238, 11, 1, 157)","(341, 11)"
"(493, 10, 1, 45)","(5, 13)"
"(532, 7, 1, 359)","(225, 6)"
