"(432, 5, 1, 133)","(366, 5)"
"(139, 6, 1, 141)","(33, 4)"
"(341, 4, 1, 167)","(238, 4)"
"(387, 2, 1, 161)","(466, 2)"
"(432, 5, 1, 241)","(366, 5)"
"(459, 3, 1, 288)","(95, 3)"
"(459, 3, 1, 461)","(95, 3)"
"(95, 3, 1, 573)","(459, 3)"
"(387, 5, 1, 233)","(133, 5)"
"(136, 3, 1, 78)","(271, 2)"
"(387, 4, 1, 320)","(33, 2)"
"(39, 1, 1, 226)","(151, 1)"
"(432, 4, 1, 570)","(366, 4)"
"(238, 4, 1, 173)","(341, 4)"
"(459, 7, 1, 381)","(95, 7)"
"(95, 4, 1, 503)","(459, 4)"
"(238, 6, 1, 580)","(341, 6)"
"(459, 3, 1, 5)","(95, 3)"
"(387, 1, 1, 363)","(74, 1)"
"(202, 1, 1, 404)","(70, 1)"
"(60, 4, 1, 471)","(389, 4)"
"(432, 2, 1, 49)","(366, 2)"
"(95, 4, 1, 535)","(459, 4)"
"(459, 3, 1, 339)","(95, 3)"
"(95, 3, 1, 557)","(459, 3)"
"(341, 2, 1, 220)","(238, 2)"
"(325, 1, 1, 209)","(315, 1)"
"(333, 3, 1, 487)","(305, 3)"
"(186, 3, 1, 88)","(38, 3)"
"(432, 4, 1, 576)","(366, 4)"
"(387, 6, 1, 387)","(178, 6)"
"(444, 1, 1, 444)","(93, 1)"
"(95, 3, 1, 216)","(459, 3)"
"(494, 1, 1, 279)","(147, 1)"
"(459, 1, 1, 229)","(95, 1)"
"(359, 4, 1, 509)","(227, 4)"
"(10, 1, 1, 529)","(136, 8)"
"(59, 6, 1, 97)","(33, 6)"
"(392, 3, 1, 96)","(346, 3)"
"(459, 2, 1, 461)","(95, 2)"
"(387, 4, 1, 21)","(33, 2)"
"(93, 1, 1, 107)","(405, 2)"
"(459, 2, 1, 288)","(95, 2)"
"(341, 2, 1, 60)","(238, 2)"
"(432, 5, 1, 15)","(196, 5)"
"(458, 3, 1, 497)","(452, 3)"
"(432, 1, 1, 40)","(366, 1)"
"(494, 5, 1, 584)","(492, 5)"
"(95, 1, 1, 282)","(459, 1)"
"(157, 4, 1, 155)","(159, 4)"
"(432, 3, 1, 104)","(366, 3)"
"(432, 3, 1, 524)","(366, 3)"
"(136, 2, 1, 78)","(271, 1)"
"(95, 2, 1, 573)","(459, 2)"
"(464, 4, 1, 266)","(37, 2)"
"(432, 3, 1, 338)","(366, 3)"
"(141, 1, 1, 41)","(216, 1)"
"(387, 6, 1, 363)","(74, 6)"
"(341, 1, 1, 230)","(238, 1)"
"(459, 2, 1, 5)","(95, 2)"
"(387, 3, 1, 141)","(113, 3)"
"(87, 3, 1, 447)","(31, 3)"
"(459, 2, 1, 339)","(95, 2)"
"(493, 3, 1, 34)","(108, 2)"
"(432, 3, 1, 208)","(366, 3)"
"(333, 2, 1, 487)","(305, 2)"
"(95, 2, 1, 557)","(459, 2)"
"(186, 2, 1, 88)","(38, 2)"
"(494, 6, 1, 279)","(498, 3)"
"(459, 6, 1, 229)","(95, 6)"
"(130, 1, 1, 378)","(29, 2)"
"(213, 2, 1, 432)","(490, 1)"
"(210, 2, 1, 331)","(424, 2)"
"(537, 1, 1, 82)","(163, 1)"
"(213, 2, 1, 107)","(490, 1)"
"(95, 2, 1, 216)","(459, 2)"
"(341, 7, 1, 147)","(238, 7)"
"(341, 1, 1, 433)","(238, 1)"
"(432, 1, 1, 424)","(366, 1)"
"(432, 3, 1, 457)","(366, 3)"
"(432, 1, 1, 50)","(366, 1)"
"(432, 4, 1, 126)","(366, 4)"
"(432, 4, 1, 443)","(366, 4)"
"(392, 2, 1, 96)","(346, 2)"
"(432, 1, 1, 210)","(366, 1)"
"(341, 7, 1, 250)","(238, 7)"
"(75, 7, 1, 204)","(48, 7)"
"(95, 6, 1, 282)","(459, 6)"
"(432, 1, 1, 311)","(366, 1)"
"(458, 2, 1, 497)","(452, 2)"
"(459, 3, 1, 232)","(95, 3)"
"(33, 4, 1, 272)","(387, 6)"
"(432, 2, 1, 104)","(366, 2)"
