Source,Target,Weight,NumberEFMs
malate[c],malate[m],684.8946001457045,14
malate[m],OAA[m],670.1871558865398,12
OAA[m],aspartate[m],307.47389185377796,5
aspartate[m],aspartate[c],307.47389185377796,5
aspartate[c],OAA[c],307.47389185377796,5
OAA[c],malate[c],573.0452788373248,10
OAA[m],citrate[m],362.71326403276197,7
citrate[m],citrate[c],362.71326403276197,7
citrate[c],OAA[c],265.5713869835469,5
glutamate[c],glutamate[m],414.13260951632884,15
glutamate[m],AKG[m],488.27003532351506,17
AKG[m],AKG[c],274.46649589080596,7
AKG[c],glutamate[c],371.608372940021,9
AKG[m],succinyl-CoA[m],97.14187704921503,2
succinyl-CoA[m],succinate[m],97.14187704921503,2
succinate[m],fumarate[m],97.14187704921503,2
fumarate[m],malate[m],97.14187704921503,2
citrate[c],isocitrate[c],97.14187704921503,2
isocitrate[c],AKG[c],97.14187704921503,2
malate[m],malate[c],111.84932130837987,4
AKG[m],glutamate[m],87.3191434446277,5
S-Sulfanylglutathione[c],GSH[c],25.92257011265687,2
GSH[c],S-Sulfanylglutathione[c],25.92257011265687,2
glutamate[m],glutamate[c],35.52005603295716,5
proline[c],proline[m],28.765437364439148,4
proline[m],proline[c],28.765437364439148,4
Source,glutamine[s],92.97526051008131,11
glutamine[c],Sink,45.07394249701338,5
glutamine[s],glutamine[c],92.97526051008131,11
alanine[s],Sink,13.121240137800246,2
glutamine[c],glutamine[m],40.897137469717265,5
glutamine[m],glutamate[m],40.897137469717265,5
glutamate[m],alanine[m],18.55879907420158,3
alanine[m],alanine[c],13.121240137800246,2
alanine[c],alanine[s],13.121240137800246,2
CO2[s],Sink,31.0455020479555,3
AKG[m],CO2[m],29.34251893886635,3
CO2[m],CO2[c],34.780077875267686,4
CO2[c],CO2[s],31.0455020479555,3
glutamine[c],glutamate[c],7.0041805433506665,1
alanine[m],pyruvate[m],5.437558936401336,1
pyruvate[m],CO2[m],5.437558936401336,1
HCO3-[s],Sink,3.734575827312185,1
CO2[c],HCO3-[c],3.734575827312185,1
HCO3-[c],HCO3-[s],3.734575827312185,1
