from,to,substance,quantity
ID281,ID282,EFM 1,71.772722212025
ID282,ID320,EFM 1,71.772722212025
ID320,ID137,EFM 1,71.772722212025
ID137,ID136,EFM 1,71.772722212025
ID136,ID319,EFM 1,71.772722212025
ID319,ID281,EFM 1,71.772722212025
ID281,ID282,EFM 2,61.991544291821796
ID282,ID320,EFM 2,61.991544291821796
ID320,ID154,EFM 2,61.991544291821796
ID154,ID153,EFM 2,61.991544291821796
ID153,ID319,EFM 2,61.991544291821796
ID319,ID281,EFM 2,61.991544291821796
ID124,ID214,EFM 3,54.50812931152606
ID214,ID215,EFM 3,54.50812931152606
ID215,ID125,EFM 3,54.50812931152606
ID125,ID124,EFM 3,54.50812931152606
ID281,ID282,EFM 4,28.44492088782585
ID282,ID320,EFM 4,28.44492088782585
ID320,ID137,EFM 4,28.44492088782585
ID137,ID136,EFM 4,28.44492088782585
ID136,ID319,EFM 4,28.44492088782585
ID319,ID281,EFM 4,28.44492088782585
ID281,ID282,EFM 5,27.487000749932594
ID282,ID281,EFM 5,27.487000749932594
