from,to,substance,quantity
ID281,ID282,EFM 1,60.63570423043401
ID282,ID320,EFM 1,60.63570423043401
ID320,ID137,EFM 1,60.63570423043401
ID137,ID136,EFM 1,60.63570423043401
ID136,ID319,EFM 1,60.63570423043401
ID319,ID281,EFM 1,60.63570423043401
ID281,ID282,EFM 2,52.372277776541964
ID282,ID320,EFM 2,52.372277776541964
ID320,ID154,EFM 2,52.372277776541964
ID154,ID153,EFM 2,52.372277776541964
ID153,ID319,EFM 2,52.372277776541964
ID319,ID281,EFM 2,52.372277776541964
ID214,ID215,EFM 3,46.59569606300289
ID215,ID125,EFM 3,46.59569606300289
ID125,ID124,EFM 3,46.59569606300289
ID124,ID214,EFM 3,46.59569606300289
ID281,ID282,EFM 4,23.221825733891258
ID282,ID281,EFM 4,23.221825733891258
ID125,ID215,EFM 5,16.07600833312059
ID215,ID125,EFM 5,16.07600833312059
