from,to,substance,quantity
ID124,ID214,EFM 1,30.322355112618716
ID214,ID215,EFM 1,30.322355112618716
ID215,ID125,EFM 1,30.322355112618716
ID125,ID124,EFM 1,30.322355112618716
ID219,ID217,EFM 2,18.603762568203496
ID217,ID218,EFM 2,18.603762568203496
ID218,ID215,EFM 2,18.603762568203496
ID215,ID125,EFM 2,18.603762568203496
ID125,ID157,EFM 2,18.603762568203496
ID157,ID156,EFM 2,18.603762568203496
ID156,ID158,EFM 2,18.603762568203496
ID158,ID0,EFM 2,18.603762568203496
ID125,ID215,EFM 3,10.463223200773367
ID215,ID125,EFM 3,10.463223200773367
ID219,ID217,EFM 4,9.014788499402677
ID217,ID0,EFM 4,9.014788499402677
ID219,ID217,EFM 5,7.0041805433506665
ID217,ID214,EFM 5,7.0041805433506665
ID214,ID215,EFM 5,7.0041805433506665
ID215,ID125,EFM 5,7.0041805433506665
ID125,ID157,EFM 5,7.0041805433506665
ID157,ID156,EFM 5,7.0041805433506665
ID156,ID158,EFM 5,7.0041805433506665
ID158,ID0,EFM 5,7.0041805433506665
