x y name z
1 -Inf Acetaldehyde_e 0.8985158197549427
1 -Inf D-Glycerate_2-phosphate_c 0.8834251685957112
1 0.0 Coenzyme_A_c 0.7714839175534975
1 0.0 Nicotinamide_adenine_dinucleotide_-_reduced_c 1.0775102304445017
1 -Inf 2-Oxoglutarate_e 0.9225817611652491
1 -Inf Acetate_e 1.0980804417346586
1 -Inf Ubiquinone-8_c 1.1245196623001175
1 -Inf D-Lactate_e 1.029516513266322
1 0.0 ADP_C10H12N5O10P2_c 1.1702157038259646
1 -Inf 2-Oxoglutarate_c 1.1736983540021155
1 -Inf Formate_e 0.8863771626844101
1 -Inf L-Malate_e 1.0875470414353412
1 -Inf Alpha-D-Ribose_5-phosphate_c 0.9680862233181093
1 -Inf Ammonium_e 1.0008125675055644
1 -Inf L-Glutamate_e 1.0911550314366494
1 -Inf Phosphate_c 1.102008800601057
1 -Inf D-Fructose_e 1.0885953408235067
1 -Inf Fumarate_e 0.8268316511984728
1 -Inf Ethanol_e 1.0082084948485168
1 0.0 Nicotinamide_adenine_dinucleotide_phosphate_c 1.0688116649285948
1 -Inf H+_e 0.920185274853525
1 -Inf Phosphate_e 0.8885963454668518
1 -Inf Pyruvate_e 0.855008526003304
1 -Inf H2O_H2O_c 1.0338415742547276
1 -Inf D-Glucose_e 0.9670221785507731
1 0.04575749056067514 L-Glutamine_e 0.9115544442068217
1 -Inf H2O_H2O_e 1.0353838205208772
1 -Inf H+_c 0.8488522555335603
1 -Inf O2_O2_e 0.963355764251047
1 -Inf CO2_CO2_e 1.020812730041475
2 -Inf L-Phenylalanine_e 1.9362462542183931
2 -Inf D-Glycerate_2-phosphate_c 1.9882798976572889
2 0.09177037335564536 Adenine_e 2.146256618642707
2 -Inf Pyridoxine_e 1.9732963543884043
2 -Inf L-Homocysteine_e 2.0198251230955977
2 -Inf Diphosphate_c 1.9592645153969186
2 0.0 Protoporphyrin_c 2.213810671641164
2 -Inf D-Mannose_1-phosphate_c 2.0842449100996054
2 -Inf L-Palmitoylcarnitine_c 1.8122367872179053
2 -Inf Linoleic_acid_(all_cis_C18:2)_n-6_c 1.8903602538408912
2 -Inf Hexadecanoate_(n-C16:0)_e 2.050925923877743
2 0.4259687322722811 Pyridoxamine_e 1.9423705411430439
2 -Inf Carbon_monoxide_c 2.009624492314213
2 -Inf Ethanolamine_e 2.258282536585713
2 -Inf 1D-myo-Inositol_1-phosphate_c 2.0705190150555284
2 -Inf D-Glucose_e 1.9421430724074502
2 -Inf H+_c 1.9816833851291864
2 -Inf D-Glucosamine_e 2.0389466047592144
2 0.0 Urea_CH4N2O_e 2.0140607818933165
2 -Inf N-Acetyl-D-glucosamine_c 1.8983386249161422
2 -Inf CO2_CO2_e 1.9966440817893607
2 0.0 Thiamin_e 2.05299537789209
2 -Inf Formate_c 2.192607922535964
2 0.15607414553379406 ATP_C10H12N5O13P3_c 1.961338414994633
2 -Inf Dopamine_e 2.084227635300209
2 -Inf D-Galactose_e 2.077732446358291
2 -Inf L-Alanine_e 1.8744006131201476
2 -Inf Linoleic_acid_(all_cis_C18:2)_n-6_e 1.887299040126079
2 0.0 Coenzyme_A_c 2.150604083338049
2 0.0 Octadecenoyl-CoA_(n-C18:1CoA)_c 2.029097418412144
2 -Inf Hydrogen_peroxide_e 2.014242052754844
2 -Inf D-Lactate_e 2.051646069189469
2 -Inf Sn-Glycero-3-phosphocholine_c 2.1100299694817584
2 -Inf L-Cysteine_e 1.9958134310909221
2 0.12646525656977248 Adenosine_e 2.1392337635952527
2 -Inf Linoleyl_carnitine_c 2.042214199174313
2 -Inf D-Fructose_e 2.0762615566259113
2 -Inf Adrenaline_e 2.125984272755118
2 0.0 Nicotinamide_adenine_dinucleotide_phosphate_c 1.8545003981197314
2 0.0 Protoheme_C34H30FeN4O4_c 2.139486903900467
2 -Inf Pyridoxal_e 1.8175812092593815
2 0.0 CMP_C9H12N3O8P_c 2.0481505300455236
2 0.0 Orotidine_5'-phosphate_c 2.038519818750777
2 -Inf H2O_H2O_e 1.96041535775116
2 -Inf 1D_myo_Inositol_1_4_5_trisphosphate_C6H9O15P3_c 1.7877151288210147
2 -Inf 5-Amino-4-oxopentanoate_e 2.030584009279426
2 0.0 Nicotinamide_e 2.0194116121166026
2 0.0 Linoleic_coenzyme_A_c 1.942587756480548
2 0.0 Biliverdin_cytosol_c 1.9051997721698317
2 0.0 Palmitoyl-CoA_(n-C16:0CoA)_c 1.9621736070143858
2 -Inf Acetaldehyde_e 1.850420889354476
2 -Inf Nicotinate_e 1.9504904622752983
2 -Inf L-Lactate_e 1.8928057568399277
2 -Inf Octadecenoate_(n-C18:1)_e 1.7932440127109452
2 -Inf L-Malate_e 1.9808095997375226
2 -Inf 1D-myo-Inositol_1,4-bisphosphate_c 1.9142428929179416
2 0.0 Uridine_e 2.090323319033463
2 0.4078482973322866 P1,P4-Bis(5'-adenosyl)_tetraphosphate_c 2.0516097882654876
2 -Inf Hexadecanoate_(n-C16:0)_c 1.946770271272515
2 0.0 Bilirubin_monoglucuronide_e 1.9904490181974657
2 -Inf Potassium_e 2.114282118295365
2 0.0 Thiamin_monophosphate_e 2.1062985550327893
2 -Inf Norepinephrine_e 1.9868733059312444
2 1.7947203518168366 S-Adenosyl-L-homocysteine_c 2.075651480518075
2 0.0 UDP-D-glucuronate_c 1.9087031755134216
2 0.0 Orotate_C5H3N2O4_e 1.877893318582608
2 -Inf Octadecenoate_(n-C18:1)_c 1.8427532300232077
2 0.38021124171160603 L-Arginine_e 2.029620031494884
2 -Inf Isocitrate_c 1.9943744804437185
2 -Inf Leukotriene_B4(1-)_e 2.089330704376626
2 0.0 Nicotinamide_adenine_dinucleotide_-_reduced_c 2.076921957905448
2 -Inf D-Mannose_e 2.1661476055502233
2 -Inf Acetate_e 1.8942476112413247
2 -Inf L-Ascorbate_e 2.074652789359776
2 0.1716821401506262 ADP_C10H12N5O10P2_c 1.9602637298999395
2 -Inf Octadecenoyl_carnitine_c 1.8500439216366122
2 0.8450980400142568 5_L_Glutamyl_L_alanine_C8H13N2O5_e 1.9562636111584262
2 0.0 Hypoxanthine_e 2.0781166383657683
2 -Inf Glycine_e 1.8959262837509003
2 -Inf N-Acetylneuraminate_e 2.0368382359159387
